,Commenter_Name,DateTime,Comment,length
245,Haunted village,2022-10-12 09:37:53,ইডিটর সাহেব সমাবশে সমাবেশে,4
246,Laiju Begum,2022-10-12 09:38:13,মূল্য বিদ্ধির আন্দোলনে সবাই এক সাথে ঐক্যবদ্ধ হওয়া উচিত সন্ত্রাসীরা হামলা না করলে জনসমুদ্রে ভেসে যেতো,16
247,Md Akash Islam,2022-10-12 09:39:48,,0
248,Md Akash Islam,2022-10-12 09:42:11,বিএনপি দের অস্তিত্ব বাংলাদেশ থেকে মুছে দিতে হবে কেননা তাদের অস্তিত্ব আগেও ছিল না আর এখনো থাকবে না,18
249,Md Nahid,2022-10-12 09:43:09,হাতে থাকলে বাশ শয়তান থাকেনা আশপাশ শক্ত হাতে বাশ নেও জালেম দেরকে দেশ ছাড়া করো,15
250,md wahid,2022-10-12 09:45:04,এগিয়ে যাও,2
251,Zihadbd 1971,2022-10-12 09:45:49,বিএনপির মা কে চুদি কুত্তার মতো পিটাইবি জীবন থাকতে আর দেশের বিরুদ্ধে আন্দোলন না করে,15
252,Touhid Khan,2022-10-12 09:46:43,শয়তান রা কখনও ভাল হয় না ওরা অত্যাচার করবেই,9
253,"@Ridoy2001,tiktok-channel",2022-10-12 09:46:49,সব শালাই চোর বাটপার কেউই ভালো না,7
254,Zahid Naim,2022-10-12 09:47:31,সবাই সাথে বাঁশ আনবেন,4
255,Rassel Hossen,2022-10-12 09:48:05,জংলী আওয়ামীলীগ বাংলাদেশে চাই না তারা রাজাকার দেশের মানুষ মারে গুম খুন করে তাদের জন্য নিরিহ মানুষ ঘরে থাকতে পারে না,21
256,Md Jahngir,2022-10-12 09:49:41,উন্নয়নের নামে যে বাঁশ দিয়েছে সেই বাঁশ নিয়ে সমবেশে আসলে ভালো হবে,12
257,Kawsar Hossain,2022-10-12 09:49:50,এগিয়ে জান আপনাদের জন্য দোয়া রইল,6
258,MD saimon Saimon,2022-10-12 09:50:13,আওয়ামী লীগ এখন কোথায় পালাবে তোমাদের সময় শেষ,8
259,md mizan,2022-10-12 09:54:43,,0
260,Mohammad Afran😍,2022-10-12 10:00:26,বিএনপি জনগণের সমর্থন নিয়ে ক্ষমতায় আসবে ইনশাআল্লাহ,7
261,Mohammed Iqbal,2022-10-12 10:01:36,,0
262,Saddam Md,2022-10-12 10:02:34,নিজের সুরক্ষায় লাঠি তির বাঠুল রড এগুলা কাছে রাখবেন,9
263,Ahasad Chowdhury,2022-10-12 10:05:31,কিসের সাথে আছে আপনাদের আপনারা আমার বাবারে মারছেন অজথা আপনার জে মানুষের কতো খতি করছেন তা বুঝবে পাবলিক ইনশাআল্লাহ,19
264,Mohammad Ajiz,2022-10-12 10:17:31,আল্লাহ ও আল্লাহ দয়া করে এ জালেম জুলুম বাজ সরকার হাসিনা জালেমের পতন করেন আল্লাহ,15
265,Sofiqul Islam,2022-10-12 10:26:17,,0
266,Md Rana,2022-10-12 10:27:24,আজকের সমাবেশ সফল হউক চট্টগ্রাম জেলা ছাএদল বাংলাদেশ জিন্দাবাদ চট্টগ্রাম জেলা সমাবেশ সফল হউক,14
267,Md Rana,2022-10-12 10:27:58,আমরা গাডির কারনে যেতে পারিনাই আজকের সমাবেশ সফল হউক বাংলাদেশ জিন্দাবাদ,11
268,Jashim Khalifa,2022-10-12 10:56:37,হামলার অভিযোগ বিএনপির মানে কি আপনারা চোখে দেখেন না,9
269,Imam Hossain,2022-10-12 10:57:15,আওয়ামীলীগ বিলুপ্তির পথে আওয়ামীলীগের সাথে আমার কোন বিবাদ নেই আমরা চাই উৎসব মূখর একটি নিবাচন,15
270,Shahed's Webcast,2022-10-12 10:57:51,ইনশাআল্লাহ পুরো পৃথিবী আল্লাহর আইনে চলবে,6
271,Md Safiqur Rahman,2022-10-12 10:59:09,সরকারের উচিত ক্ষমতা ছেড়ে দেওয়া,5
272,Md Abdus Sabur,2022-10-12 11:08:51,বাংলাদেশের সাধারণ জনগণ আপনাদের সাথেই আছে হামলা বা বাধার কারণে আপনারা মনোবল হারাবেন না আন্দোলন জোরদার করার জন্য অনুরোধ করছি বিজয় হবেই ইনশাল্লাহ,23
273,Hanif Hasan,2022-10-12 11:11:20,,0
274,Somir Bapari,2022-10-12 11:23:02,কোন বাঁধা নয় সরাসরি পেটাতে হবে,6
275,Lutfor Miyah,2022-10-12 11:28:39,নিন্দা জানাই কুত্তা লিক পুলিশ কে ও কুতা লিক কে,10
276,Apollo Mr apollo,2022-10-12 11:34:08,,0
277,Anwar hosain,2022-10-12 11:51:52,,0
278,MD Ashik Roheman,2022-10-12 12:06:19,সমাবেশে মানুষ কই মহাসমাবেশ কারে কয়,6
279,Gazi Moinul,2022-10-12 12:06:52,আপনারা জাতির বিবেক সত্য তুলে ধরুন,6
280,joraiba Quan,2022-10-12 12:08:03,এই অপদার্থ রাষ্ট্রদ্রোহী হাসিনা সরকারের পতনে জন্য প্রয়োজনে অস্ত্র হাতে রাজপথে নামতে হবে,13
281,Islamic Channel,2022-10-12 12:16:58,যমুনা টিভিকে বলব আপনারা যেখানে সরাসরি দেখছেন একজন লোক আহত হয়েছেন সেখানে আপনারা বলেন অভিযোগ নাকি উঠেছ,17
282,M A Khan,2022-10-12 12:19:28,বেদাত বেদাত বেদাত,3
283,M A Khan,2022-10-12 12:21:08,এইগুলো বেদাত না আর সুষ্ঠভাবে পালন করা ঈদে মিলাদুন্নবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বেদাত তোদের আমলে হযবরল,16
284,Nahid Feni,2022-10-12 12:21:58,যেখানে বাধা সেখানে সমাধান চাই মাইরের বদলে মাইর হবে,9
285,Mr Lokman,2022-10-12 12:23:12,গাড়ি বন্দ লিগ বাধা পুলিশী গন গ্রেপতার পুলিশ বি এন পি কর্মিদের খাওয়ার পানি লুট করে নিয়ে যায় খাওয়ার দোকান বন্দ করা সহ সব হয়রানির পর ও জনতার ঢল চট্রগ্রামে,30
286,Md Nuralam,2022-10-12 12:26:58,হাসিনার গুন্ডাবাহিনীরা হামলা করবে এটাই স্বাভাবিক,6
287,Mr Raton,2022-10-12 12:29:27,,0
288,islamic todbir,2022-10-12 12:29:34,বাশ নিয়ে আসবেন বাশই শক্তি বাঁশই মুক্তি,7
289,Mahmudur rahman,2022-10-12 12:30:48,,0
290,Mr Solution,2022-10-12 12:30:54,হায় রেররর বিএনপি মানুষে মানুষে জোয়ার বয়ে যাচ্ছে গাধা দিয়ে হাল চাষ,12
291,ᴘʟᴀᴄᴇ 360,2022-10-12 12:38:07,দেশের দুই রাজনৈতক দলের প্রতি আমার অনুরোধ দেশের সাধারণ মানুষের প্রতি যেনো কোনো বিরাজমান প্রভাব না পড়ে আমরা সুস্থ সুন্দর বাংলাদেশ চাই,22
292,SR JIHAD SR PABNA,2022-10-12 12:40:22,বিজয় হবেই ইনশাআল্লাহ,3
293,Soboj porag,2022-10-12 12:46:31,আওয়ামীলীগ বাধা দিলে আপনারা কি করেন প্রতিরোধ গরে তোলেন,9
294,Channel ATV Canada Inc.,2022-10-12 12:48:02,,0
295,billal hossain,2022-10-12 12:55:43,বিএনপি নামের গরু ছাগলের দলগুলোকে গরুর মতো পিটানো উচিত,9
296,Just fun,2022-10-12 12:55:47,সব গুলারে দইরা পিডা,4
297,Ashkar Ali,2022-10-12 12:59:19,আওয়ামী নাস্তিক বামপন্থী,3
298,Porajito Soinik,2022-10-12 13:00:47,সাধিন দেশে সাধিন ভাবে সভা সমাবেস করার অধিকার সবাই রাখে জারা সভা সমাবেসে বাধা দিচ্ছে তারা কি ভুলে গেছে এটা,20
299,bokia dash 730,2022-10-12 13:02:20,শুধু আওয়ামীলীগ সমাবেশ করবে আর কেউ সমাবেশ করতে পারবে না এটা কেন নিরাপত্তা,13
300,Md Latif,2022-10-12 13:10:42,শুভ কামনা রইল বিএনপি,4
301,Rn Nishad,2022-10-12 13:11:13,আলহামদুলিল্লাহ জয় বিএনপি এর পাশেই আসবে,6
302,Mohammad Yesin,2022-10-12 13:12:58,মানুষ কই খালি মাঠ ইসলামী আন্দোলন এর সামাবেশ এদের চাইতে বড় ছিল তার খবর না হাইরে রাজাকারের দল,18
303,Mokbul Hussain,2022-10-12 13:15:30,জনগণের দল,2
304,M A,2022-10-12 13:17:48,ভালো যারা আন্দোলনের নামে ভাঙচুর করছে তাদের ধোলাই দরকার,9
305,TAMIM IQBAL,2022-10-12 13:19:18,এখনই সময় সন্ত্রাসী বাহিনীকে হটানো,5
306,Mohi Uddin,2022-10-12 13:20:15,আম্বালীগ মাঠে ছিলো নি,4
307,Mannan Rubel,2022-10-12 14:02:55,আল্লাহ আপনি সবাই কে হেপাজত করুন আমিন,7
308,Rasel B Adil,2022-10-12 14:08:30,অবৈধ হাসিনার দিন শেষ বাংলাদেশ,5
309,KHAN SHAHEB,2022-10-12 14:53:44,বাস কোথায় বাঁশ ডলার কোনো বিকল্প নাই,7
310,Artisto Tajammul,2022-10-12 14:58:24,,0
311,Shahidul Islam Shahad,2022-10-12 15:14:36,খেলা শুরু হয়ে গেছে খেলা হবে,6
312,shak sujon,2022-10-12 15:21:03,আমরা হামলার সিকার,3
313,Vloges Towhid,2022-10-12 16:15:41,কনটেন্ট এর এস্পেলিং ভুল সমাবশে হবে নাহ হবে সমাবেশে,9
314,PRECURSOR,2022-10-12 16:22:53,সারাদিন গণপরিবহন বন্ধ রেখে হামলা করেও মানুষকে আটকাতে পারলো না আওয়ামীলীগ,11
315,Dude's Vision,2022-10-12 16:41:09,,0
316,kakon,2022-10-12 16:43:20,২০২৪ সালে হাসিনা সহো আওয়ামী লীগের সবার সিলংকার মতো জাইংগা খোলা হবে ঘর থেকে টেনে হিসরে বের করে মারা হবে আওয়ামী লীগ দের,23
317,SOHAG KHAN,2022-10-12 17:02:36,বি এন পি নেতাদেন বলছি এটাই উপযুক্ত সময় মাজা শক্ত করে শুধু রাজপথে থাকেন বাঙালি ৭০ এখন শেখ হাসিনাকে চায়না তাই এ সুয়োগ মিস করবেন না,26
318,Sara Alamgir,2022-10-12 17:20:43,বড় জোর ৫ ১০ হাজার মানুষ হবে বিএনপি স ন্ত্রাস বাহিনী থেকে জনগণ যে মুখ ফিরিয়ে নিচ্ছে সেটাই তার বহিঃপ্রকাশ ধন্যবাদ চট্টগ্রাম বাসীকে,23
319,Kamrul's View,2022-10-12 17:32:28,অভিযোগ বলছেন কেন আপনাদের সাংবাদিক গুলো কি করে চোখ বন্ধ করে রাখে,12
320,G̲o̲l̲d̲e̲n̲ V̲l̲o̲g̲ o̲n̲l̲y̲,2022-10-12 17:53:08,জয় হোক মানবতার,3
321,Jidan Jidan,2022-10-12 18:17:25,,0
322,mdtamim khan,2022-10-12 18:35:32,,0
323,Eiasin Arafat,2022-10-12 19:06:42,,0
324,Al-Amin Hassan,2022-10-12 19:28:03,এরাই এ যুগের বাংলাদেশের রাজনৈতিক যোদ্ধা হাজার হাজার সেলাম সৃষ্টিকর্তার চরণে,11
325,Syed Kalam,2022-10-12 21:01:00,,0
326,Moajjam Trs,2022-10-12 21:36:15,সবাই বাঁশ আনবেন সাথে করে,5
327,Dulal Mandal,2022-10-12 22:57:24,,0
328,Sourov kumar,2022-10-13 04:25:14,হামলার করা এই সকল অভিযোগ অসত্য বহুদলিয় গণতন্ত্রের প্রবর্তক আওয়ামীলীগ সরকার সকলের রাজনৈতীক ও গণতান্ত্রিক অধিকার নিশ্চিত করেছে কুচক্রী বিএনপি সমাবেশে জনগনের সমাগম করতে ব্যর্থ হয়ে এখন নিজেদের ব্যর্থতা আড়াল করতে এই সকল মিথ্যা অভিযোগ করছে,36
329,My Tik tok,2022-10-13 05:53:43,অভিযোগ করছে সেটা বলবেন না বলবে আওয়ামী লীগ যায়গায় যায়গায় বি এন পি কর্মীদেরকে আহত করছে আওয়ামী লীগ,18
330,Tanvir Hasan,2022-10-13 11:10:05,আমি বিএনপিকে কোন সময় আওয়ামী লীগের বিকল্প মনে করিনা রাজনৈতিক দল হিসেবে দু দলই ব্যর্থ বর্তমান যুগের সাথে তাল মিলিয়ে মানুষের আশা আকাঙ্ক্ষার প্রতিফলন ঘটাতে পারবে এমন একটি রাজনৈতিক দলকেই মানুষের বেছে নেওয়া উচিত হোক সেটা আওয়ামী লীগ বিএনপি অথবা অন্য কোন দল,43
331,Helal Talukder,2022-10-14 01:16:10,মিথ্যা,1
332,Shobuj Islam,2022-10-14 05:00:52,,0
333,Tisha islam Tisha islam,2022-10-14 08:36:54,সবি এ শেখ হাসিনার চাল ঔ তো নাটের গুরু ও গদিতে বসে জনগণককে ধংসের মুখে ফেলে দিচ্ছে ওর তো কিছু হচ্ছে না মর শালা জনগণ মর আমি তামাশা দেখি এটাই শেখ হাসিনার বাস্তবতা বুঝলে সাধারণ মানুষ,36
334,Sk forid sk forid Sk forid sk forid,2022-10-14 10:16:41,,0
335,md gogo md,2022-10-14 15:42:02,বিএনপি চাই,2
336,zia Sum,2022-10-15 07:15:46,আওয়ামীলীগ এরকম করলে আরও বিপদে পরবে,6
337,Md Faizor,2022-10-16 12:12:24,,0
338,waiza Yafiz,2022-10-14 04:00:25,নেতৃত্ব এমনই হও্যা উচিৎ ফক্রুল কিম্বা আমির খস্রুর মত সবজি মার্কা নেতৃত্ব বি এন পি চায় না এগিয়ে যাও হুম্মাম,20
339,Fakrulislan Fakrulslan,2022-10-14 04:17:44,,0
340,Fakrulislan Fakrulslan,2022-10-14 04:19:01,,0
341,Mohammad Eshfaq Elahi,2022-10-14 04:35:29,যতদিন পৃথিবী থাকবে ততদিন নারায়ে তাকবীর আল্লাহু আকবার শ্লোগান থাকবে,10
342,Bangladesher raja,2022-10-14 04:53:29,ওর মনে অনেক কষ্ট মিথ্যা মামলা দিয়ে ফাঁসি দিছে আর এটাই ইসলামের স্লোগান দিছে ধন্যবাদ ওকে,16
343,habib halsana,2022-10-14 05:19:49,,0
344,Khairul Islam,2022-10-14 05:49:25,ভালোবাসি উনাকে,2
345,Md Nubel ibrahim,2022-10-14 06:18:17,আল্লহু আকর আল্লহু আকবর আল্লহু আকবর,6
346,Md Manik,2022-10-14 06:33:35,এটাইতো আসল নেতা,3
347,Uae Uae,2022-10-14 06:54:34,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার,6
348,alamgir khan,2022-10-14 06:55:14,আম গাছে জাম হয় না রাজাকারের বংশে রাজাকারই হয়,9
349,Mitul Bose,2022-10-14 07:35:13,বিএনপি ভুুয়া,2
350,Papon,2022-10-14 08:33:36,রাজনৈতীক সমাবেশে এমন ধর্মিয় স্লোগান প্রদান উদ্দেশ্য প্রনোদিত ছাড়া আর কিছুইনা দেশের সাম্প্রদায়িক পরিস্থিতিকে উসকে দিতে এই রাজাকারের বাচ্চা এই সকল উসকানি মূলক স্লোগান প্রদান করছে,26
351,Nazrul Islam,2022-10-14 08:54:04,,0
352,syed Iftakhar,2022-10-14 09:06:53,শয়তানের বাচ্চা শয়তানই হয়,4
353,Tauhidul Islam,2022-10-14 09:26:04,আল্লাহু আকবার বাপকা বেটা সাবাস বাঘের বাচ্চা,7
354,mostafizur Rahman,2022-10-14 09:48:39,ইনশাআল্লাহ,1
355,Md Taher Ahmed,2022-10-14 10:19:13,নারায়েতকবির আল্লাহু আকবার,3
356,সত্য পথে চলি সত্য কথা বলি,2022-10-14 12:18:04,সুন্দর কথা বলেছেন ভাই,4
357,Mohammad Jakaria,2022-10-14 15:54:25,না রায়ে তাকবির আল্লাহু আকবার,5
358,Kamrul Hasan,2022-10-14 16:37:26,নারায়ে তাকবির আল্লাহু আকবার,4
359,Samsung A20,2022-10-14 17:26:40,লিল্লাহি তাকবির আল্লাহু আকবার,4
360,M.N. Sajeeb,2022-10-14 17:46:55,আল্লাহু আকবার টা ভালো লেগেছে,5
361,Md Khocon Parvez,2022-10-14 17:55:44,রাজাকার পুত্রের ভাসন বিএনপির সমাবেশে কেনো বিএনপি রাজাকার নিয়ে রাজনিতি করে,11
362,Md. Shakil Ahmed,2022-10-14 17:57:19,,0
363,Saib uddin Arif🔪,2022-10-14 18:23:15,এটাই মোসলমানের পরিচয়,3
364,raja,2022-10-14 19:10:01,,0
365,Life is....,2022-10-14 19:12:12,,0
366,HAQ KOTHA,2022-10-14 19:44:29,তোর রাজাকার বাবা সীমা অতিক্রম করেছিল আল্লাহ তাকে ফাঁসি দিয়ে শাস্তি দিয়েছেন সাবধান,13
367,কি? কেন? কিভাবে ?,2022-10-14 20:12:12,রাজাকারের বাচ্চা রাজাকারই হয়েছে,4
368,Hi power,2022-10-14 20:38:42,আওয়ামিরা আসলেই মুনাফিক আল্লার নাম নিলেই আওয়ামিদের জ্বলে,8
369,Hi power,2022-10-14 20:39:39,আচ্ছা আল্লার নাম নিলেই আওয়ামিরা জ্বলে কেন,7
370,Hi power,2022-10-14 20:40:30,আল্লাহুকবার,1
371,T A সত্যের পথে,2022-10-14 22:51:19,নারায়ে তাকবীর আল্লাহু আকবার,4
372,Samsul Islam,2022-10-15 00:40:19,,0
373,BD Viewers,2022-10-15 01:46:28,আল্লহু আকবার,2
374,Amirul Sehk,2022-10-15 02:23:12,হুমমম ধন্যবাদ,2
375,Taposh Electronic,2022-10-15 02:27:06,নব্যরাজাকার তৈরি হচ্ছে এদের সমূলে উতপাটন করা দরকার,8
376,মোঃ নাদিম,2022-10-15 02:29:26,আল্লাহু আকবার,2
377,Md Shafiqul,2022-10-15 06:18:38,,0
378,Md khairul,2022-10-15 07:11:52,ভালো লাগল,2
379,বিপ্লবী জনতা,2022-10-15 07:12:02,একেই বলে বাংলা জনগণের ছেলে বাপের ছেলে বাপের মতই কাজ করে যাবে যা মানুষের ভালোবাসায় এগিয়ে যাবে পুরো চট্টগ্রাম,19
380,mia sohel,2022-10-15 07:45:51,আল্লাহু আকবার,2
381,Sujan Sheikh,2022-10-15 08:22:14,নারায়ে তাকবির আল্লাহুআকবার,3
382,Shameem Khan,2022-10-15 08:31:09,ওরে পাগলা বেশি লাফালাফি করে না বাবার পথে যেতে হবে কিন্তু,11
383,Md Bidyut,2022-10-15 08:47:28,খুব ভালো লাগছে,3
384,Mr Zisan,2022-10-15 10:40:46,আল্লাহু আকবার,2
385,Md Jakir,2022-10-15 11:26:00,,0
386,Karnafully Engineering,2022-10-15 13:53:01,আল্লাহুআকবর মুমিন এর স্লোগান আল্লাহুআকবর ধ্বনি শুনলে কাফের মুশরিকদের অন্তর আত্মা কাপিয়ে উঠে,13
387,Md Aslam,2022-10-15 14:38:52,বির বাবার বির ছেলে,4
388,Md Ibrahim,2022-10-15 14:44:22,,0
389,Nesar Uddin অবশ্যই অন্যায়,2022-10-15 14:59:43,বাঘের ছেলে বাঘ,3
390,MD MUSA,2022-10-15 18:43:44,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার,6
391,Alamin Porden,2022-10-15 18:59:12,ইনশাআল্লাহ পালাবার পথ পাইবেনা কুত্তা লীক,6
392,Bilal Ahmed,2022-10-15 19:57:04,,0
393,Bilal Ahmed,2022-10-15 19:57:28,,0
394,Noman Uddin,2022-10-15 22:07:56,,0
395,Noman Uddin,2022-10-15 22:09:47,,0
396,Bangladesher raja,2022-10-16 03:59:01,ইসলামের স্লোগান দিছে ধন্যবাদ,4
397,Bee,2022-10-16 04:52:13,নারায়ে তাকবীর আল্লাহ আকবার,4
398,Md Borhan Gazi,2022-10-16 04:57:19,আল্লাহু আকবার শুনতে ভালো লাগে,5
399,Skfaysal,2022-10-16 05:54:10,ঠিক কথা বলেছেন,3
400,Razu Talukder,2022-10-16 07:20:19,,0
401,মারুফ ফিসারিজ,2022-10-16 08:06:16,রাজাকার পুত্র পাকিস্তানের স্লোগান দেবে পাকিস্তান জিন্দাবাদ বলবে সবই স্বাভাবিক ওর বাপ দাদারাও একই স্লোগান এদেশে কয়েম করতে চেয়েছিলো,19
402,Md.tamim Md.tamim,2022-10-16 09:56:17,ইনশাআল্লাহ,1
403,Md mamun Mb mamun,2022-10-16 10:20:48,বাপের বেটা সারা বাংলাদেশের মুসলমান হুমমাম কাদেরের ধনিতে সহমত,9
404,Arefin Johir,2022-10-16 11:36:51,,0
405,Shamim Shaleq,2022-10-16 12:09:25,এরকম নেতাদের তু বাংলাদেশে দরকার,5
406,md sumon,2022-10-16 12:34:00,বাপ ক্যা বেটা,3
407,Samsung A20,2022-10-16 13:22:10,নারায় তাকবির আল্লাহু আকবর,4
408,Hasan 777,2022-10-16 13:35:58,রক্ত গরম করা স্লোগান,4
409,Grameen Tv Bangla,2022-10-16 14:33:46,আল্লাহু আকবার,2
410,Riya Riya,2022-10-16 14:35:02,আল্লা হু আকবর,3
411,Muhammed Ilyas,2022-10-16 18:16:01,আল্লাহর তপিক বিজয় ইনশাআল্লাহ লাটি নিয়া নামবেন বিজয় ইনশাআল্লাহ,9
412,Azir Uddin,2022-10-16 18:22:11,সাবাস সাবাস সাবাস,3
413,Ali Basraloy,2022-10-16 18:55:49,মাশাল্লাহ,1
414,Abdul Aziz,2022-10-16 19:41:21,আললাহু আকবর,2
415,Enamul Haque,2022-10-16 20:12:01,আল্লাহু আকবার,2
416,DREAM VIEW,2022-10-16 20:21:00,রাজাকারের পোলা আওয়ামীলীগ সরকারকে ধমক দেয় আমরা দেখছি তোর বাপ সারাজীবন অশ্লীল বক্তব্য দিছে কোনদিন নারায়ে তাকবীর স্লোগান দিছে ব্যাটা মিথ্যুক যখন দেয়ালে পিঠ ঠেকে যায় তখন ধর্ম ব্যাবহার করা তোমাদের অভ্যাস,32
417,Md Dawlot,2022-10-16 22:56:36,নারায়ে তাকবির আল্লাহু আকবার,4
418,Mohammod Belal,2022-10-17 03:13:07,নারায়ে তাকবীর আল্লাহু আকবার,4
419,Mohammod Belal,2022-10-17 03:13:17,নারায়ে তাকবীর আল্লাহু আকবার,4
420,Mohammod Belal,2022-10-17 03:13:32,নারায়ে তাকবীর আল্লাহু আকবার,4
421,Mohammod Belal,2022-10-17 03:13:48,নারায়ে তাকবীর আল্লাহু আকবার,4
422,Mohammod Belal,2022-10-17 03:14:11,নারায়ে তাকবীর আল্লাহু আকবার,4
423,kurulus,2022-10-17 04:01:02,নারায়ে তাকবির আল্লাহু আকবার,4
424,Muhammad Sohel Tv,2022-10-17 04:52:13,রাইট,1
425,md shakib romon,2022-10-17 06:03:40,,0
426,md shakib romon,2022-10-17 06:04:12,আল্লাহ আখবার,2
427,Md. Jiarul islam,2022-10-17 07:21:51,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার,6
428,Use of positive thinking,2022-10-17 15:17:40,তোরা গুন্ডা কথা শুনলেই বোঝা যায়,6
429,Din Islam,2022-10-17 18:43:16,,0
430,Badol Islam,2022-10-18 02:31:23,লিল্লাহি তাকবীর আল্লাহু আকবার,4
431,Md Monir,2022-10-18 05:15:20,এটাই সব থেকে সুন্দর সোগান,5
432,Md Abbas,2022-10-18 10:53:53,,0
433,Protest of lies,2022-10-18 17:07:41,এই স্লোগান দেয়ার জন্য আপনার জনপ্রিয়তা বেড়ে গেছে যে যাই বলুক বাংলাদেশের জনগণ আপনার পক্ষে আছে,16
434,Zannatul Zannatul,2022-10-19 04:52:54,আল্লাহু আকবার,2
435,sahin ahmed,2022-10-19 07:48:06,গাদদার ও বেয়াদবের বাচ্চা,4
436,takninakal or riyed(01),2022-10-20 06:41:45,আল্লাহর পথে এগিয়ে যাও কুওালীগ কে হতাও,7
437,Md.shahin sikder Masud,2022-10-20 15:36:25,,0
438,Gwhwyw Ysywyw,2022-10-12 15:19:16,আলহামদুলিল্লাহ,1
439,Amader Krishi Ghar - আমাদের কৃষি ঘর,2022-10-12 15:21:13,,0
440,Kashem Ahmed,2022-10-12 15:22:03,বাংলাদেশ জিন্দাবাদ,2
441,azir uddin,2022-10-12 15:25:09,আলহামদুলিল্লাহ বি এন পি জিন্দাবাদ আওয়ামী লীগ পায়েন্দাবাদ,8
442,Rakib Al Hasan,2022-10-12 15:33:12,আলহামদুলিল্লাহ,1
443,Md Humayun,2022-10-12 15:34:19,আওয়ামী লীগের মগা চুদা গুলো বলো নাই দেশে তা হলো এরা কারা,12
444,Marcos Romero,2022-10-12 15:37:48,বিএনপিকে মানুষ কি দেখে ভোট দিবে আমার বাসা পিরোজপুর জেলায় আমরা যখন স্কুলে পড়তাম আমাদের বাসায় বিদ্যুতের লাইনই ছিলো না বাজারে ও স্কুলে বিদ্যুতের লাইন ছিলো তা দিনে ১৬ ঘন্টা থাকতো না হাটু সমান কাঁদার রাস্তা হেটে স্কুলে যাওয়া লাগতো বাসা থেকে থানায় যাওয়ার জন্য পাকা রাস্তা ছিলো না হাস্পাতালে সিট ছিলো না ব্রিজগুলো ছিলো নড়বড়ে এক সাথে সকল মোয়া পাওয়া যায় না আগে মানুষের চাহিদা ছিলো ভাত ডালের মধ্যে এখন মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা এখন আপনি চাইলেই ৫০০ ১০০০ টাকা পেয়ে যান বাপ মায়ের কাছে আমরা স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য ছিল না এখন বলবেন টাকার মান এখন কমে গেছে আরেহ ভাই টাকাইতো ছিলো না আপনার কাছে তখন,115
445,HMEAB,2022-10-12 15:38:03,এই সব লেবাস ধারী পুলিশ লীগ দের দেশ থেকে জুতা পায়ে লাথি মারতে মারতে দেশ থেকে বের করে দেওয়া এরা করোনার চেয়েও বড় ভাইরাস হে আল্লাহ এদের করুন সর্বনাশ আমিন,30
446,Delwar Hussain,2022-10-12 15:39:25,সাবাস বিএনপি এদেশের জনগণ তোমাদের সাথে আছে এগিয়ে চলো,9
447,Iqbal Media mix,2022-10-12 15:41:23,সুন্দর প্রতি বেদন,3
448,Shahidullah Bulu,2022-10-12 15:43:00,জনগ নের এ কিভুত হওয়া ভা লো লে গে ছে কিন্তু দুঃ খের বিষয় এই সমা বে শ দে খে বিদু ্যতের দাম বাড়া নো হ চ্ছে,27
449,Atikur Rahman Mishu,2022-10-12 15:44:41,অবিলম্বে আওয়ামী লীগে পতন ডাক দেয়া হোক,7
450,Md Emam,2022-10-12 15:48:34,প্রতিবন্দী ওয়াবায়দুল কাদির বলে বি এন পি নাকি জনগন বিচ্ছিন্ন আমি বলি কাদির দেখেন কে জনগন বিচ্ছিন্ন বি এন পি নাকি আমীলিগ,22
451,mehedihasansujon sujon,2022-10-12 15:50:33,জানের ভয় জীবনের হুমকি ত্যাগ করে মানুষ আসছে আওয়ামী লীগ এর সমাবেশে এর অর্ধেক মানুষ হয় না,17
452,ব্ল্যাক হোল,2022-10-12 15:50:56,গত বারের মত কোন দালালদের খপ্পরে পরে বা হাসিনার মিথ্যা কথার ফাঁদে পড়ে অথবা কোন বিদেশী শক্তির পরামর্শে তত্ত্বাবধায়ক সরকার ব্যবস্থা ছাড়া নির্বাচনে অংশ নেওয়া যাবে না সত্যের পথে বি্জ্য় নিশ্চিত,31
453,Safiullah Akram,2022-10-12 15:51:59,সুকরান,1
454,Habibur Raham,2022-10-12 15:52:52,এবার বিএনপির উচিত মরণ কামড় দেওয়া,6
455,Sujon Mia,2022-10-12 15:53:42,এত মানুষ,2
456,Habibur Raham,2022-10-12 15:54:12,গণজোয়ার শুরু হয়েছে বিএনপির,4
457,স্বপ্ন ছোয়ার গল্প,2022-10-12 15:55:21,এখনো মরে নেই আছে এদেশের কোটি মানুষের কলিজায়,8
458,Shaharia Hussain,2022-10-12 16:00:39,কথাইতো সংবাদিক ভাই গুছিয়ে বলতে পারছে না,7
459,Md Shohel Rana,2022-10-12 16:04:40,খুব ভালো লাগলো,3
460,BD BACHELOR COOKING,2022-10-12 16:05:22,খেলা শুরু,2
461,Shofiul Islam,2022-10-12 16:11:37,লাও ঠেলা,2
