headline,link,description,time
জানুয়ারি মাসেই ব্যাংকের ডলার সংকট দূর হবে,https://banglanews24.com/national/news/bd/997075.details,"মেহেরপুর: প্রধানমন্ত্রী শেখ হাসিনার বেসরকারি শিল্প ও বিনিয়োগ উপদেষ্টা সালমান এফ রহমান বলেন, আমাদের ব্যাংকগুলোতে যে ডলার সংকট আছে","১৩১৪ ঘণ্টা, নভেম্বর ২৬, ২০২২"
মেহেরপুর কারাগারে বন্দির মৃত্যু,https://banglanews24.com/national/news/bd/996322.details,"মেহেরপুর: হঠাৎ অসুস্থ হয়ে মো. মুনসুর আলী (৫১) নামে মেহেরপুর কারাগারের এক বন্দির মৃত্যু হয়েছে। 
বৃহস্পতিবার (২৪ নভেম্বর) বেলা সাড়ে","১১০২ ঘণ্টা, নভেম্বর ২৫, ২০২২"
"গাংনীতে বিদেশি পিস্তল উদ্ধার, গুলিসহ যুবক আটক",https://banglanews24.com/national/news/bd/995485.details,মেহেরপুর: র‌্যাপিড অ্যাকশন ব্যাটালিয়ন (র‌্যাব)-১২ সিপিসি মেহেরপুর ক্যাম্পের সদস্যরা পৃথক আভিযান চালিয়ে পরিত্যক্ত অবস্থায়,"০০৪৭ ঘণ্টা, নভেম্বর ২৪, ২০২২"
প্রেমের ফাঁদে ফেলে ব্লাকমেইল-চাঁদাবাজিই তার পেশা,https://banglanews24.com/national/news/bd/995167.details,"মেহেরপুর: প্রথমে প্রেমের অভিনয়, পরে শারীরিক সম্পর্ক গড়ে তা ভিডিও করে ব্লাকমেইল করে অর্থ হাতিয়ে নেওয়ার মূল হোতা নাজনীন খান প্রিয়া","১৭০০ ঘণ্টা, নভেম্বর ২৩, ২০২২"
সৌদি’র অনুদানের প্রলোভন দেখিয়ে প্রতিবন্ধীর টাকা হাতিয়ে নিল ওরা,https://banglanews24.com/national/news/bd/994993.details,মেহেরপুর : সৌদি আরবের সংস্থা থেকে মোটা অংকের অনুদান পাইয়ে দেওয়ার প্রলোভন দেখিয়ে প্রতারণার ফাঁদে ফেলে টাকা হাতিয়ে নিয়েছে,"১৪২৮ ঘণ্টা, নভেম্বর ২৩, ২০২২"
মেহেরপুরে ভোক্তা অধিকারের অভিযানে দুই দোকানে জরিমানা,https://banglanews24.com/national/news/bd/994342.details,মেহেরপুর: পণ্যের লেবেলে সঠিক তথ্য না দেওয়ার অভিযোগে মেহেরপুর শহরের মেসার্স ফ্রেন্ডস ড্রিংকিং ওয়াটার এর মালিককে ১০ হাজার টাকা,"১৫৫৯ ঘণ্টা, নভেম্বর ২২, ২০২২"
মেহেরপুরে ফ্রেন্ড ড্রিংকিং ওয়াটারের মালিককে অর্থদণ্ড,https://banglanews24.com/national/news/bd/994276.details,মেহেরপুর: পণ্যের লেবেলে সঠিক তথ্য না দেওয়ার অভিযোগে মেহেরপুর শহরের মেসার্স ফ্রেন্ড ড্রিংকিং ওয়াটার এর মালিককে ১০ হাজার টাকা,"১৫০৬ ঘণ্টা, নভেম্বর ২২, ২০২২"
মুজিবনগরে ছাত্রীকে ইভটিজিং করায় অটোচালকের কারাদণ্ড,https://banglanews24.com/national/news/bd/994117.details,মেহেরপুর: স্কুলছাত্রীকে ইভটিজিংয়ের অভিযোগে অটোচালক শফিকুল ইসলামকে (২০) ১৫ দিনের বিনাশ্রম কারাদণ্ড দিয়েছেন ভ্রাম্যমান আদালতের,"১১৫৪ ঘণ্টা, নভেম্বর ২২, ২০২২"
গাংনীতে সন্তানের গলায় রামদা ধরে ডাকাতি,https://banglanews24.com/national/news/bd/994042.details,মেহেরপুর: গাংনী পৌরসভার ১নং ওয়ার্ডের বাঁশবাড়িয়া গ্রামে মায়ের সামনেই শিশু সন্তানের গলায় রামদা ধরে স্বর্ণালংকার ছিনিয়ে নিয়েছে,"০৯৪৭ ঘণ্টা, নভেম্বর ২২, ২০২২"
ডেঙ্গুতে মারা গেলেন বিশিষ্ট ব্যবসায়ী,https://banglanews24.com/national/news/bd/993952.details,মেহেরপুর: বাঁচার আশায় উন্নত চিকিৎসা নিতে ঢাকায় গিয়ে ডেঙ্গুতে আক্রান্ত হয়ে প্রাণপ্রদীপ নিভে গেল মেহেরপুরের বিশিষ্ট ব্যবসায়ী,"২১৫৯ ঘণ্টা, নভেম্বর ২১, ২০২২"
মেহেরপুরে ডাকাতদলের সর্দারসহ ৬জন রিমান্ডে,https://banglanews24.com/national/news/bd/993784.details,মেহেরপুর: গাংনীতে পৃথক দুই ডাকাতির ঘটনায় গ্রেফতারকৃত ৮টি জেলার ডাকাত সর্দারসহ ছয় ডাকাতকে চার দিনের রিমান্ড মঞ্জুর করেছেন আদালত।,"১৮৩৩ ঘণ্টা, নভেম্বর ২১, ২০২২"
পরীক্ষার ফল প্রকাশের আগেই আত্মহত্যা,https://banglanews24.com/national/news/bd/993655.details,মেহেরপুর : আর মাত্র ৭ দিন পরেই এসএসসি পরীক্ষার ফল প্রকাশ হবে। ফলাফল পেয়ে ভাল কলেজে লেখাপড়া করার প্রত্যাশা ছিল। কিন্তু সে স্বপ্ন,"১৬৪৪ ঘণ্টা, নভেম্বর ২১, ২০২২"
মেহেরপুরে হেরোইনসহ নারী মাদকবিক্রেতা গ্রেফতার,https://banglanews24.com/national/news/bd/993454.details,"মেহেরপুর: মেহেরপুরে পাঁচ গ্রাম হেরোইনসহ কুলসুম খাতুন (৩৫) নামে এক নারীকে আটক করেছে সদর থানা পুলিশ।
সোমবার (২১ নভেম্বর) দুপুরে তাকে","১৩১৬ ঘণ্টা, নভেম্বর ২১, ২০২২"
গাংনী উপজেলা জাপার সাধারণ সম্পাদকের ৫ বছরের জেল,https://banglanews24.com/law-court/news/bd/993034.details,মেহেরপুর: মারামারি মামলায় মেহেরপুরের গাংনী উপজেলা জাতীয় পার্টির সাধারণ সম্পাদক জান মহাম্মদ ওরফে মিন্টুকে (৩৫) ৫ বছরের সশ্রম,"১৮৪৯ ঘণ্টা, নভেম্বর ২০, ২০২২"
গাংনী উপজেলা জাপার সা. সম্পাদকের কারাদণ্ড,https://banglanews24.com/politics/news/bd/992830.details,মেহেরপুর: মারামারি মামলায় গাংনী উপজেলা জাতীয় পার্টির (জাপা) সাধারণ সম্পাদক জান মহাম্মদ ওরফে মিন্টুকে (৩৫) পাঁচ বছরের সশ্রম,"১৬০৬ ঘণ্টা, নভেম্বর ২০, ২০২২"
ডিজিটাইজেশনের কারণে অনিয়ম-দুর্নীতি রোধ সম্ভব হয়েছে: প্রতিমন্ত্রী,https://banglanews24.com/national/news/bd/992197.details,মেহেরপুর: ডিজিটাইজেশনের কারণে অনিয়ম ও দুর্নীতি ব্যাপকভাবে রোধ করা সম্ভব হয়েছে বলে মন্তব্য করেছেন জনপ্রশাসন প্রতিমন্ত্রী ফরহাদ,"১৬৫৩ ঘণ্টা, নভেম্বর ১৯, ২০২২"
