headline,link,description,time
মার্কেট উচ্ছেদের ঘটনায় জেলা প্রশাসকের সংবাদ সম্মেলন,https://banglanews24.com/national/news/bd/935662.details,মেহেরপুর: মেহেরপুর কোর্টরোডে মসজিদ মার্কেট উচ্ছেদের বিষয়ে ব্যাখ্যা দিয়ে সংবাদ সম্মেলন করেছেন মেহেরপুর জেলা প্রশাসক  ড. মোহাম্মদ,"১০৩৯ ঘণ্টা, জুন ৮, ২০২২"
"মেহেরপুরে মার্কেটের দোকান উচ্ছেদ, ব্যবসীয়দের বিক্ষোভ-ধর্মঘট",https://banglanews24.com/national/news/bd/935592.details,মেহেরপুর: মেহেরপুর কোর্ট মসজিদ মার্কেট উচ্ছেদকে কেন্দ্রে করে ব্যবসায়ীরা ও জেলা প্রশাসন এখন মুখোমুখি অবস্থানে রয়েছে। কোনো নোটিশ না,"২১০৬ ঘণ্টা, জুন ৭, ২০২২"
গাংনীতে দম্পতির ঝুলন্ত মরদেহ উদ্ধার,https://banglanews24.com/national/news/bd/935556.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলার দিগলকান্দি গুচ্ছগ্রামে সাগর আলী ও চামেলী খাতুন নামে এক দম্পতির ঝুলন্ত মরদেহ উদ্ধার করেছে,"১৯০৫ ঘণ্টা, জুন ৭, ২০২২"
মাকে হত্যার অভিযোগে বাবাকে পুলিশে দিলেন মেয়ে,https://banglanews24.com/national/news/bd/935475.details,"মেহেরপুর: মাকে হত্যার অভিযোগ এনে বাবাকে পুলিশের কাছে ধরিয়ে দিলেন মেয়ে। ঘটনাটি মেহেরপুর শহরের পশুহাটপাড়া এলাকায়।
মঙ্গলবার (৭ জুন)","১৩৫৬ ঘণ্টা, জুন ৭, ২০২২"
"‘রাজা বাবু’র দিনের বাজেট হাজার টাকা, খায় কলা-ছোলা",https://banglanews24.com/economics-business/news/bd/934959.details,মেহেরপুর: মুজিবনগরের রাজা বাবু। দেখতে যেন কালা পাহাড়। রাজা বাবুই এবারের কোরবানির ঈদে দেশের সবচেয়ে বড় গরু বলে ধারণা করছেন,"১১১০ ঘণ্টা, জুন ৫, ২০২২"
মেহেরপুরে ২ মোটরসাইকেলের সংঘর্ষে যুবক নিহত,https://banglanews24.com/national/news/bd/934898.details,"মেহেরপুর: মেহেরপুরে দুই মোটরসাইকেলের মুখোমুখি সংঘর্ষে আব্দুর রহমান (২৭) নামে যুবক নিহত হয়েছেন।
শনিবার (০৪ জুন) সন্ধ্যা সাড়ে ৬টার","২০৫৭ ঘণ্টা, জুন ৪, ২০২২"
ডিবি পুলিশের অভিযানে ফেনসিডিলসহ মাদক ব্যবসায়ী আটক,https://banglanews24.com/national/news/bd/934885.details,মেহেরপুর: মেহেরপুরের গাংনীতে ৭৫ বোতল ফেনসিডিলসহ জহুরুল ইসলাম (২৭) নামে এক মাদক ব্যবসায়ীকে আটক করেছে জেলা গোয়েন্দা (ডিবি) পুলিশের,"২০১৮ ঘণ্টা, জুন ৪, ২০২২"
মেহেরপুরে গ্রেফতার ১৭,https://banglanews24.com/national/news/bd/934715.details,"মেহেরপুর: মেহেরপুরে পৃথক পৃথক অভিযানে ১৭ আসামিকে গ্রেফতার করেছে পুলিশ।
গ্রেফতারদের শনিবার (৪ জুন) সকালে আদালতের মাধ্যমে জেলা","১০৪৬ ঘণ্টা, জুন ৪, ২০২২"
মেহেরপুরের গ্রামে জন্মেও আন্তর্জাতিক বিজ্ঞানী ড. আব্দুর রশিদ,https://banglanews24.com/national/news/bd/934646.details,"মেহেরপুর: মেহেরপুরের গাংনীর অজপাড়া গ্রাম সাহারবাটি। এই গ্রামেই জন্ম প্রফেসর ড. মো. আব্দুর রশিদের।
তিনি ঢাকা বিশ্ববিদ্যালয়ের","১৯৫৪ ঘণ্টা, জুন ৩, ২০২২"
গাংনীতে পরোয়ানাভুক্ত ৮ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/934576.details,"মেহেরপুর: মেহেরপুরের গাংনীতে অভিযান চালিয়ে বিভিন্ন মামলায় আদালতের পরোয়ানাভুক্ত আট আসামিকে গ্রেফতার করেছে পুলিশ।
গ্রেফতার আট","১৪৪৩ ঘণ্টা, জুন ৩, ২০২২"
মেহেরপুরে পুলিশের অভিযানে ৭ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/934534.details,"মেহেরপুর: মেহেরপুরে পুলিশের পৃথক অভিযানে আদালতের পরোয়ানাভূক্তসহ ৭ আসামি গ্রেফতার হয়েছে।
বৃহস্পতিবার (২ জুন) দিবাগত রাতভর জেলার","১০২৮ ঘণ্টা, জুন ৩, ২০২২"
মেহেরপুরে আ. লীগের চেয়ারম্যান প্রার্থীসহ চারজনকে কারণ দর্শানোর নোটিশ,https://banglanews24.com/national/news/bd/934514.details,মেহেরপুর: নির্বাচনী আচরণবিধি লঙ্ঘনের দায়ে মেহেরপুর সদর উপজেলার বারাদি ইউনিয়নের আওয়ামী লীগের দলীয় চেয়ারম্যান প্রার্থীসহ চার,"০২০০ ঘণ্টা, জুন ৩, ২০২২"
মেহেরপুরে পরোয়ানাভুক্ত ৬ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/934345.details,"মেহেরপুর: মেহেরপুরে অভিযান চালিয়ে বিভিন্ন মামলায় আদালতের পরোয়ানাভুক্ত ৬ আসামিকে গ্রেফতার করেছে সদর থানা পুলিশ।
বৃহস্পতিবার (২","১৩১৫ ঘণ্টা, জুন ২, ২০২২"
মুজিবনগরে গাছ থেকে পড়ে শ্রমিকের মৃত্যু,https://banglanews24.com/national/news/bd/934272.details,মেহেরপুর: মেহেরপুরের মুজিবনগর উপজেলার মোনাখালী ইউনিয়নের শিবপুর গ্রামে গাছ থেকে পড়ে কালু হোসেন (৫০) নামে এক শ্রমিকের মৃত্যু হয়েছে।,"২১৫৩ ঘণ্টা, জুন ১, ২০২২"
মাদক মামলায় মেহেরপুরে এক ব্যক্তির ১০ বছর কারাদণ্ড,https://banglanews24.com/law-court/news/bd/934182.details,মেহেরপুর: মাদকদ্রব্য নিয়ন্ত্রণ আইনে মামলায় মেহেরপুরে ঝন্টু আহমেদ (৪০) নামে এক ব্যক্তির ১০ বছর সশ্রম কারাদণ্ড দিয়েছেন আদালত। একই,"১৭৪১ ঘণ্টা, জুন ১, ২০২২"
মানবিক পুলিশ হতে হবে: খুলনা রেঞ্জের ডিআইজি,https://banglanews24.com/national/news/bd/934151.details,"মেহেরপুর: বাংলাদেশ পুলিশের খুলনা রেঞ্জের ডিআইজি ড. খ. মহিদ উদ্দিন বিপিএম (বার) বলেছেন, পুলিশকে সততা ও নিষ্ঠার সঙ্গে দায়িত্ব পালন করতে","১৬১৮ ঘণ্টা, জুন ১, ২০২২"
গাংনীতে দুর্ভোগ সৃষ্টি করায় দুই ব্যক্তির জেল-জরিমানা,https://banglanews24.com/law-court/news/bd/934034.details,মেহেরপুর: রাস্তায় মাটি ফেলে জন দুর্ভোগ সৃষ্টি ও যত্রতত্র পুকুর খননের অভিযোগে পুকুর মালিককে ১০ হাজার টাকা জরিমানা ও মাটি ব্যবসায়ীকে,"২২২৯ ঘণ্টা, মে ৩১, ২০২২"
অভিযানের ভয়ে এমবিবিএস ডাক্তার ভাড়া!,https://banglanews24.com/national/news/bd/934019.details,মেহেরপুর: স্বাস্থ্য বিভাগের অভিযানের ভয়ে গাংনী উপজেলার প্রায় প্রতিটি ক্লিনিক-ডায়াগনস্টিক সেন্টারে এমবিবিএস ডাক্তার ভাড়া বসানোর,"২১১৮ ঘণ্টা, মে ৩১, ২০২২"
কাজ না করেই ৭০ শতাংশ বিল তুলেছেন ঠিকাদার,https://banglanews24.com/national/news/bd/933876.details,মেহেরপুর: কাজ শুরু না করেই ৫ কোটি টাকা প্রকল্পের কাজের ৩ কোটি ৩৭ লাখ টাকা বিল তুলে নিয়েছেন ঠিকাদার জহিরুল ইসলাম। আর একাজে সহযোগিতা,"১৪৩১ ঘণ্টা, মে ৩১, ২০২২"
মেহেরপুর পৌরসভা নির্বাচনে দুই কাউন্সিলর প্রার্থীর নাম বিভ্রাট,https://banglanews24.com/election-comission/news/bd/933840.details,মেহেরপুর: মেহেরপুর পৌরসভা নির্বাচনের ৭ নম্বর ওয়ার্ডের দুই প্রার্থীর মধ্যে শুরু হয়েছে নামের বিড়ম্বনা। অবশেষে সমাধান পেতে নির্বাচন,"১১৫৬ ঘণ্টা, মে ৩১, ২০২২"
গাংনীতে বাসচাপায় শিশুর মৃত্যু,https://banglanews24.com/national/news/bd/933835.details,"মেহেরপুর: গাংনীতে যাত্রীবাহী বাসের চাপায় হাম্মাদ আলী (২) নামে এক শিশুর মৃত্যু হয়েছে।
মঙ্গলবার (৩১ মে) সকাল ৯টার দিকে","১১৩৬ ঘণ্টা, মে ৩১, ২০২২"
মেহেরপুরে অনিবন্ধিত ৫ প্রাইভেট ক্লিনিক-ডায়াগনস্টিক সেন্টার সিলগালা,https://banglanews24.com/national/news/bd/933682.details,"মেহেরপুর: মেহেরপুরের মুজিবনগরে অভিযান চালিয়ে পাঁচটি অবৈধ ক্লিনিক ও ডায়াগনস্টিক সেন্টার সিলগালা করেছে স্বাস্থ্য বিভাগ।
সোমবার","১৬১৮ ঘণ্টা, মে ৩০, ২০২২"
আদালত চত্ত্বরে আসামির কিল-ঘুষিতে আহত দুই পুলিশ!,https://banglanews24.com/national/news/bd/933611.details,মেহেরপুর: আদালত চত্ত্বরেই আসামির হামলায় আহত হয়েছেন দুই পুলিশ সদস্য। রোববার (২৯ মে) দুপুরে মেহেরপুর নারী ও শিশু নির্যাতন আদালতে এ,"১১৫১ ঘণ্টা, মে ৩০, ২০২২"
মিথ্যা মামলা করতে এসে ঠাঁই হলো জেলে,https://banglanews24.com/law-court/news/bd/933592.details,"মেহেরপুর: মাথা, হাত ও গলায় রক্তমাখা ব্যান্ডেজ করে আদালতে এসে মিথ্যা মামলা করতে গিয়ে ফেঁসে গেছেন বাদী। অবশেষে তারা ঠিকানা হয়েছে","১০৫৬ ঘণ্টা, মে ৩০, ২০২২"
মেয়েকে ‘উত্ত্যক্ত’ করায় যুবককে লাঠিপেটা করলেন মা,https://banglanews24.com/national/news/bd/933325.details,মেহেরপুর: মেহেরপুরে মেয়েকে উত্ত্যক্ত করায় এক যুবককে লাঠি দিয়ে পিটিয়েছেন এক মা। এ ঘটনায় একটি ভিডিও সামাজিকমাধ্যমে ভাইরাল হওয়ায়,"০২১৩ ঘণ্টা, মে ২৯, ২০২২"
ইভিএম পদ্ধতি স্বচ্ছতার প্রতীক: ইসি আহসান হাবিব,https://banglanews24.com/national/news/bd/933204.details,মেহেরপুর: ইলেক্ট্রনিক ভোটিং মেশিন (ইভিএম) পদ্ধতিকে স্বচ্ছতার প্রতীক বলে বর্ণনা করেছেন নির্বাচন কমিশনার (ইসি) ব্রিগেডিয়ার জেনারেল,"১৭০২ ঘণ্টা, মে ২৮, ২০২২"
গাংনীতে এক সপ্তাহে ডায়রিয়ায় আক্রান্ত শতাধিক,https://banglanews24.com/national/news/bd/933157.details,মেহেরপুর: আশঙ্কাজনকভাবে মেহেরপুরের গাংনীতে বেড়েছে ডায়রিয়ায় আক্রান্তের সংখ্যা। গত ২৪ ঘণ্টায় এ উপজেলায় আক্রান্ত হয়ে ২৫ জন,"১৪৫৬ ঘণ্টা, মে ২৮, ২০২২"
গাংনীর খলিল হত্যা মামলার প্রধান আসামিসহ তিনজন আটক,https://banglanews24.com/national/news/bd/933133.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলার হিন্দা গ্রামে খলিল বিশ্বাস (৬৫) হত্যা মামলার প্রধান আসামিসহ তিনজনকে আটক করেছে র‌্যাপিড অ্যাকশন,"১৩৪১ ঘণ্টা, মে ২৮, ২০২২"
গাংনীতে আম গাছ থেকে পড়ে যুবকের মৃত্যু,https://banglanews24.com/national/news/bd/933040.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলার বাদিয়াপাড়া গ্রামে আম পাড়তে গিয়ে গাছ থেকে পড়ে তাপস আলী (২৭) নামে এক যুবকের মৃত্যু হয়েছে।,"২০৫৫ ঘণ্টা, মে ২৭, ২০২২"
মেহেরপুর পৌরসভা নির্বাচনে প্রতীক বরাদ্দ,https://banglanews24.com/national/news/bd/932978.details,মেহেরপুর: মেহেরপুর পৌরসভা নির্বাচনে আওয়ামী লীগের মনোনীত মেয়র প্রার্থী মাহফুজুর রহমান রিটন নৌকা প্রতীক এবং স্বতন্ত্র মেয়র,"১৬৫৩ ঘণ্টা, মে ২৭, ২০২২"
মেহেরপুর পৌরসভায় প্রার্থী তৃতীয় লিঙ্গের সিমা,https://banglanews24.com/election-comission/news/bd/932966.details,"মেহেরপুর: মেহেরপুর পৌরসভার  ৩ নং (৭,৮,৯) ওয়ার্ডের সংরক্ষিত সদস্য প্রার্থী হয়েছেন তৃতীয় লিঙ্গের সিমা চৌধুরী।
পছন্দের প্রতীক গোলাপ","১৬২০ ঘণ্টা, মে ২৭, ২০২২"
প্রার্থীতা তুলে নিলেন মেহেরপুরের ৫ ইউপি চেয়ারম্যানসহ ৩৩ জন,https://banglanews24.com/election-comission/news/bd/932835.details,"মেহেরপুর: আগামী ১৫ জুন আসন্ন মেহেরপুর পৌরসভা, সদর উপজেলার পিরোজপুর, আমঝুপি, নবগঠিত বারাদী ও শ্যামপুর ইউনিয়ন পরিষদের (ইউপি)","২০৫৬ ঘণ্টা, মে ২৬, ২০২২"
ইউপি নির্বাচন: শ্যামপুরে নৌকার প্রার্থিতা প্রত্যাহার করলেন আ.লীগ নেতা,https://banglanews24.com/election-comission/news/bd/932760.details,মেহেরপুর: মেহেরপুর সদর উপজেলার নবগঠিত শ্যামপুর ইউনিয়ন পরিষদ নির্বাচনের আওয়ামী লীগের দলীয় প্রার্থী আব্দুর রব বিশ্বাস তার,"১৬৫৭ ঘণ্টা, মে ২৬, ২০২২"
হিমসাগর আম ভাঙা শুরু,https://banglanews24.com/national/news/bd/932753.details,মেহেরপুর: লোকসানের ঝুঁকি নিয়ে মাথায় নিয়ে আমের দ্বিতীয় রাজধানী মেহেরপুর জেলার সুস্বাদু হিমসাগর আম ভাঙা শুরু হয়েছে। আমের জেলা,"১৬৪০ ঘণ্টা, মে ২৬, ২০২২"
মেহেরপুরে বিভিন্ন মামলার ৭ আসামি গ্রেফতার,https://banglanews24.com/national/news/bd/932738.details,"মেহেরপুর: মেহেরপুরে অভিযান চালিয়ে বিভিন্ন মামলায় আদালতের পরোয়ানাভুক্ত ৭ আসামিকে গ্রেফতার করেছে পুলিশ।
বুধবার (২৫ মে) রাতে","১৬০১ ঘণ্টা, মে ২৬, ২০২২"
মেহেরপুরে পুলিশি অভিযানে গ্রেফতার ৯,https://banglanews24.com/national/news/bd/932497.details,"মেহেরপুর: মেহেরপুরে অভিযান চালিয়ে বিভিন্ন মামলায় আদালতের পরোয়ানাভুক্তসহ নয়জন আসামিকে গ্রেফতার করেছে পুলিশ।
মঙ্গলবার (২৪ মে)","১৬৪৫ ঘণ্টা, মে ২৫, ২০২২"
সাপের রূপে জ্বীন এসে মানুষকে কামড়াচ্ছে!,https://banglanews24.com/national/news/bd/932341.details,"মেহেরপুর: সাপ দেখেনি কেউ। কিন্তু দংশনের শিকার হয়েছেন মেহেরপুরের উজলপুর গ্রামের অর্ধশতাধিক মানুষ। ওঝা বলেছেন, এটি জ্বীন সাপ। সাপের","২১৩৯ ঘণ্টা, মে ২৪, ২০২২"
"মেহেরপুরে ৩২৪ ডায়রিয়া রোগী ভর্তি, ঘণ্টা ঘণ্টা বাড়ছে সংখ্যা",https://banglanews24.com/health/news/bd/932282.details,মেহেরপুর: মেহেরপুরে ডায়রিয়া মারাত্মক আকার ধারণ করেছে । ২৪ ঘণ্টার ব্যবধানে মেহেরপুর ২৫০ শয্যার জেনারেল হাসপাতালে ভর্তি হয়েছেন ১০৮,"১৮২২ ঘণ্টা, মে ২৪, ২০২২"
মুজিবনগরে শিক্ষার্থীবাহী লেগুনা দুর্ঘটনায় আহত ১০,https://banglanews24.com/national/news/bd/932193.details,মেহেরপুর: মুজিবনগরে স্কুল শিক্ষার্থী বহনকারী একটি লেগুনা নিয়ন্ত্রণ হারিয়ে গাছের সঙ্গে ধাক্কা লেগে অন্তত ১০ জন আহত হয়েছে।,"১৩১৬ ঘণ্টা, মে ২৪, ২০২২"
"গাছের ডাল কাটা নিয়ে বিরোধ, ছোট ভাই লাঠির আঘাতে বড় ভাইয়ের মৃত্যু",https://banglanews24.com/national/news/bd/931975.details,মেহেরপুর: মেহেরপুরের গাংনীতে উপজেলার হিন্দা গ্রামে ছোট ভায়ের লাঠির আঘাতে মারা গেছেন বড় ভাই খলিলুর রহমান বিশ্বাস নামে এক ব্যক্তি।,"১৫০৪ ঘণ্টা, মে ২৩, ২০২২"
ভাতিজাকে নির্বাচনী মাঠ ছেড়ে দিলেন চাচা,https://banglanews24.com/election-comission/news/bd/931902.details,"মেহেরপুর: ‘সম্পর্কে চাচা-ভাস্তে। তাই এবার ভাতিজাকে নির্বাচনী মাঠ ছেড়ে দিলাম।’ 
রোববার (২২ মে) দুপুরে আমঝুপি ইউনিয়নের ৭ নম্বর","০৮২০ ঘণ্টা, মে ২৩, ২০২২"
"বেশি লাভ, বীজ উৎপাদনে ঝুঁকছেন কৃষকরা",https://banglanews24.com/agriculture/news/bd/931635.details,"মেহেরপুর: স্বল্প খরচ, অল্প পরিশ্রমে বীজ উৎপাদনে বেশি লাভ। ফলে মেহেরপুরের কৃষকদের কাছে দিন দিন সবজি বীজের চাষ জনপ্রিয় হয়ে উঠেছে।","২১৫৯ ঘণ্টা, মে ২১, ২০২২"
"প্রধান সড়কগুলোতে হাট-বাজার, দুর্ঘটনা বাড়লেও নেই হেলদোল!",https://banglanews24.com/national/news/bd/931375.details,মেহেরপুর: প্রধান সড়ক ঘেঁষে প্রায় ২৫টিরও অধিক হাট বসে মেহেরপুর জেলায়। মেহেরপুর-কুষ্টিয়া আঞ্চলিক মহাসড়কটি ৫৮ কিলোমিটার। এর মধ্যে,"১৯১৫ ঘণ্টা, মে ২০, ২০২২"
"রাতে যৌন নির্যাতনের অভিযোগ, সকালে ঝুলন্ত মরদেহ উদ্ধার",https://banglanews24.com/national/news/bd/931368.details,"মেহেরপুর: রাতের মায়ের কাছে ফোন করেছিলেন মেয়ে। অভিযোগ করেন, দেবর আল আমিন তার ওপর শারীরিক ও যৌন নির্যাতনের চেষ্টা করছেন। সকালে","১৮১৯ ঘণ্টা, মে ২০, ২০২২"
মেহেরপুর পৌরসভায় আ. লীগের বিদ্রোহীসহ মেয়র পদে ৪ প্রার্থী,https://banglanews24.com/election-comission/news/bd/930786.details,মেহেরপুর: মেহেরপুর পৌরসভার মেয়র পদে আওয়ামী লীগের একজন বিদ্রোহীসহ ৪ জন প্রার্থী মনোনয়নপত্র জমা দিয়েছেন। এরা হলেন বর্তমান মেয়র ও,"১০২৪ ঘণ্টা, মে ১৮, ২০২২"
মেহেরপুর সদর উপজেলা নির্বাচন কর্মকর্তা স্ট্যান্ড রিলিজ,https://banglanews24.com/national/news/bd/930623.details,"মেহেরপুর: মেহেরপুর সদর উপজেলা নির্বাচন কর্মকর্তা কবির উদ্দীনকে স্ট্যান্ড রিলিজ করা হয়েছে।
মঙ্গলবার (১৭ মে) সকালে বাংলাদেশ","১৬১০ ঘণ্টা, মে ১৭, ২০২২"
মেহেরপুরে ২ জামায়াত নেতা আটক,https://banglanews24.com/national/news/bd/930565.details,"মেহেরপুর: মেহেরপুর সদর উপজেলার হিজুলী গ্রামের একটি বাড়িতে অভিযান চালিয়ে বিপুল পরিমাণ জিহাদি বই, মাসিক কর্মপরিকল্পনা ও অন্যান্য","১২৫০ ঘণ্টা, মে ১৭, ২০২২"
"৩২০ বস্তা ফিড জব্দ, গাংনীতে কারখানা সিলগালা",https://banglanews24.com/national/news/bd/930411.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলার ইকুড়িয়ায় এইচবি ক্যাটল ফিড নামে একটি মিল থেকে ৩২০ বস্তা ফিড জব্দ করেছেন ভ্রাম্যমাণ আদালত। এ ছাড়া,"১৭৫৪ ঘণ্টা, মে ১৬, ২০২২"
মেহেরপুরে ফরহাদ হোসেন সভাপতি-এম এ খালেক সম্পাদক,https://banglanews24.com/politics/news/bd/930401.details,মেহেরপুর: জনপ্রশাসন প্রতিমন্ত্রী ফরহাদ হোসেন সভাপতি এবং এম এ খালেককে পুনরায় সাধারণ সম্পাদক নির্বাচিত করে মেহেরপুর জেলা আওয়ামী,"১৭৩১ ঘণ্টা, মে ১৬, ২০২২"
খুব বাড়াবাড়ি করছেন আপনি: ফখরুলকে ওবায়দুল কাদের,https://banglanews24.com/politics/news/bd/930338.details,"মেহেরপুর: বিএনপির মহাসচিব মির্জা ফখরুল ইসলাম আলমগীরের উদ্দেশে আওয়ামী লীগের সাধারণ সম্পাদক, সড়ক পরিবহন ও সেতুমন্ত্রী ওবায়দুল","১৪৩১ ঘণ্টা, মে ১৬, ২০২২"
পি কে হালদার আ.লীগের কেউ না: ওবায়দুল কাদের,https://banglanews24.com/politics/news/bd/930334.details,মেহেপুর: দেশের হাজার হাজার কোটি টাকা পাচারের অভিযোগ মাথায় নিয়ে আত্মগোপনে থাকা অবস্থায় ভারতে গ্রেফতার প্রশান্ত কুমার হালদার (পি কে,"১৪২০ ঘণ্টা, মে ১৬, ২০২২"
চলছে মেহেরপুর জেলা আ.লীগের ত্রি-বার্ষিক সম্মেলন,https://banglanews24.com/politics/news/bd/930330.details,মেহেরপুর: জাতীয় ও দলীয় পতাকা উত্তোলন এবং শান্তির প্রতীক পায়রা ও বেলুন উড়িয়ে মেহেরপুর জেলা আওয়ামী লীগের ত্রি-বার্ষিক সম্মেলন শুরু,"১৩৫৫ ঘণ্টা, মে ১৬, ২০২২"
মেহেরপুরে পুলিশের অভিযানে আটক ১১,https://banglanews24.com/national/news/bd/930298.details,"মেহেরপুর: মেহেরপুরে পুলিশের অভিযানে বিভিন্ন মামলায় ১১ জন আসামি গ্রেফতার হয়েছেন।
রবিবার (১৫ মে) রাতে জেলার বিভিন্ন স্থানে অভিযান","১১৫৯ ঘণ্টা, মে ১৬, ২০২২"
"তেলের বাজারে তদারকি নেই, ক্ষুব্ধ ক্রেতারা",https://banglanews24.com/national/news/bd/930101.details,মেহেরপুর: মেহেরপুরের বাজারগুলোয় কোনোভাবেই কমছে না সয়াবিন তেলের দাম। দোকানগুলোয় পর্যাপ্ত পরিমাণে খোলা পাওয়া গেলেও নেই বোতলজাত,"১৪০৪ ঘণ্টা, মে ১৫, ২০২২"
মেহেরপুরে পুলিশের অভিযানে গ্রেফতার ৯,https://banglanews24.com/national/news/bd/930077.details,"মেহেরপুর: মেহেরপুর জেলা পুলিশ অভিযান চালিয়ে বিভিন্ন মামলার ৯ জন আসামিকে গ্রেফতার করা হয়েছে।
গ্রেফতারদের মধ্যে আদালতের","১২০৪ ঘণ্টা, মে ১৫, ২০২২"
ভাইকে খুঁজতে গিয়ে লাশ হয়ে বাড়ি ফিরলেন বোন!,https://banglanews24.com/national/news/bd/929728.details,মেহেরপুর: রাগ করে বাড়ি ছেড়ে চলে যাওয়া ভাইকে খুঁজতে গিয়ে লাশ হয়ে বাড়ি ফিরলেন নিলুফা ইয়াসমীন (৩৫) নামে এক গৃহবধূ। এ দুর্ঘটনায় আহত,"১৮২৯ ঘণ্টা, মে ১৩, ২০২২"
ভাইকে কুপিয়ে ভুঁড়ি বের করে ফেললেন বড় ভাই,https://banglanews24.com/national/news/bd/929646.details,মেহেরপুর: মেহেরপুরের গাংনী উপজেলায় স্ত্রীর সঙ্গে ঝগড়ার প্রতিশোধ নিতে ছোট ভাইয়ের পেটে হাসুয়া দিয়ে কুপিয়ে ভুঁড়ি বের কর ফেললেন বড়,"১২৪৫ ঘণ্টা, মে ১৩, ২০২২"
মেহেরপুর পৌর ভোট: নৌকা চান জনপ্রশাসন প্রতিমন্ত্রীর স্ত্রীসহ ১১ জন,https://banglanews24.com/election-comission/news/bd/929508.details,মেহেরপুর: মেহেরপুর পৌরসভার আসন্ন নির্বাচনে মেয়র পদে আওয়ামী লীগের টিকিট পেতে মনোনয়নপত্র জমা দিয়েছেন জনপ্রশাসন প্রতিমন্ত্রীর,"১৭৫৫ ঘণ্টা, মে ১২, ২০২২"
মাদক মামলায় নারীর যাবজ্জীবন কারাদণ্ড,https://banglanews24.com/national/news/bd/929390.details,"মেহেরপুর: টাস্কফোর্সের দায়ের করা মাদক মামলায় জরিনা খাতুন (৫৫) নামে এক নারীকে যাবজ্জীবন সশ্রম কারাদণ্ড ও ২০ হাজার টাকা জরিমানা,","১০৪৫ ঘণ্টা, মে ১২, ২০২২"
গাছ চাপায় বাবার মৃত্যুর পর বস্তা চাপায় পুত্রের মৃত্যু,https://banglanews24.com/national/news/bd/929358.details,মেহেরপুর: গাছ চাপায় মারা গেছেন দিন মজুর বাবা বাবলু হোসেন। বাবার মৃত্যুর পাঁচ বছর পর মাছের খাবারের বস্তা চাপায় নিহত হলো শিশু জুনাইদ,"০১২৯ ঘণ্টা, মে ১২, ২০২২"
ওয়াইফাই না নেওয়ায় বিয়ের ৪ মাসে ৩ বার আত্মহত্যার চেষ্টা!,https://banglanews24.com/national/news/bd/929159.details,মেহেরপুর: বাড়িতে ওয়াইফাই না থাকায় বিয়ের চার মাসের মধ্যে তিনবার আত্মহত্যার চেষ্টা করেছে ফারহানা খাতুন (১৫) নামে এক কিশোরী বধূ।,"১১২১ ঘণ্টা, মে ১১, ২০২২"
"মুজিবনগর উপজেলা আ.লীগের সভাপতি তোতা, সম্পাদক আযাদ",https://banglanews24.com/politics/news/bd/928913.details,মেহেরপুর: সাবজেক্ট কমিটির ভোটে মুজিবনগর উপজেলা আওয়ামী লীগের রফিকুল ইসলাম তোতা সভাপতি ও আবুল কালাম আযাদ সাধারণ সম্পাদক নির্বাচিত,"২০৩২ ঘণ্টা, মে ৯, ২০২২"
"মুজিবনগরে উপজেলা আ.লীগের দু’পক্ষের সংঘর্ষ, আহত ২০",https://banglanews24.com/politics/news/bd/928879.details,মেহেরপুর: মেহেরপুরের মুজিবনগর উপজেলা আওয়ামী লীগের সম্মেলনের শুরুতে সমাবেশের সামনের চেয়ারে বসাকে কেন্দ্র করে দুই প্রার্থীর,"১৮১৬ ঘণ্টা, মে ৯, ২০২২"
"চতুর্থ বিয়ে করতে গিয়ে শ্রীঘরে বর, কনের বয়স ১২!",https://banglanews24.com/national/news/bd/928705.details,মেহেরপুর: বর হেলাল উদ্দীনের এবার ছিল চতুর্থ বিয়ে। তার বয়স প্রায় ৩৫ বছর। তবে এবার বিয়ের সময় তার বয়স দিয়েছেন ৩০ বছর। হেলাল আগে তিনটি,"১৮২৮ ঘণ্টা, মে ৮, ২০২২"
মে দিবসের প্রথম প্রহরে বিদ্যুৎস্পৃষ্ট হয়ে শ্রমিকের মৃত্যু,https://banglanews24.com/national/news/bd/927742.details,মেহেরপুর: মহান মে দিবসের প্রথম প্রহরেই নির্মাণাধীন ঘরের ছাদ থেকে প্লেনশিট নামাতে গিয়ে বিদ্যুৎস্পৃষ্ট হয়ে নিহত হয়েছেন লাল্টু হোসেন,"১৫৪৯ ঘণ্টা, মে ১, ২০২২"
কোমল পানীয় ভেবে বিষপানে অসুস্থ চৌকিদার,https://banglanews24.com/national/news/bd/926546.details,"মেহেরপুর: কোমল পানীয় ভেবে বিষপান করে আজিত রায় (৫৫) নামে এক গ্রাম পুলিশ (চৌকিদার) এখন হাসপাতালে।
অজিত রায় গাংনী উপজেলার রাইপুর","১৩২৪ ঘণ্টা, এপ্রিল ২৫, ২০২২"
