,Commenter_Name,DateTime,Comment
329,My Tik tok,2022-10-13 05:53:43,অভিযোগ করছে সেটা বলবেন না বলবে আওয়ামী লীগ যায়গায় যায়গায় বি এন পি কর্মীদেরকে আহত করছে আওয়ামী লীগ
330,Tanvir Hasan,2022-10-13 11:10:05,আমি বিএনপিকে কোন সময় আওয়ামী লীগের বিকল্প মনে করিনা রাজনৈতিক দল হিসেবে দু দলই ব্যর্থ বর্তমান যুগের সাথে তাল মিলিয়ে মানুষের আশা আকাঙ্ক্ষার প্রতিফলন ঘটাতে পারবে এমন একটি রাজনৈতিক দলকেই মানুষের বেছে নেওয়া উচিত হোক সেটা আওয়ামী লীগ বিএনপি অথবা অন্য কোন দল
331,Helal Talukder,2022-10-14 01:16:10,মিথ্যা
332,Shobuj Islam,2022-10-14 05:00:52,
333,Tisha islam Tisha islam,2022-10-14 08:36:54,সবি এ শেখ হাসিনার চাল ঔ তো নাটের গুরু ও গদিতে বসে জনগণককে ধংসের মুখে ফেলে দিচ্ছে ওর তো কিছু হচ্ছে না মর শালা জনগণ মর আমি তামাশা দেখি এটাই শেখ হাসিনার বাস্তবতা বুঝলে সাধারণ মানুষ
334,Sk forid sk forid Sk forid sk forid,2022-10-14 10:16:41,
335,md gogo md,2022-10-14 15:42:02,বিএনপি চাই
336,zia Sum,2022-10-15 07:15:46,আওয়ামীলীগ এরকম করলে আরও বিপদে পরবে
337,Md Faizor,2022-10-16 12:12:24,
338,waiza Yafiz,2022-10-14 04:00:25,নেতৃত্ব এমনই হও্যা উচিৎ ফক্রুল কিম্বা আমির খস্রুর মত সবজি মার্কা নেতৃত্ব বি এন পি চায় না এগিয়ে যাও হুম্মাম
339,Fakrulislan Fakrulslan,2022-10-14 04:17:44,
340,Fakrulislan Fakrulslan,2022-10-14 04:19:01,
341,Mohammad Eshfaq Elahi,2022-10-14 04:35:29,যতদিন পৃথিবী থাকবে ততদিন নারায়ে তাকবীর আল্লাহু আকবার শ্লোগান থাকবে
342,Bangladesher raja,2022-10-14 04:53:29,ওর মনে অনেক কষ্ট মিথ্যা মামলা দিয়ে ফাঁসি দিছে আর এটাই ইসলামের স্লোগান দিছে ধন্যবাদ ওকে
343,habib halsana,2022-10-14 05:19:49,
344,Khairul Islam,2022-10-14 05:49:25,ভালোবাসি উনাকে
345,Md Nubel ibrahim,2022-10-14 06:18:17,আল্লহু আকর আল্লহু আকবর আল্লহু আকবর
346,Md Manik,2022-10-14 06:33:35,এটাইতো আসল নেতা
347,Uae Uae,2022-10-14 06:54:34,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
348,alamgir khan,2022-10-14 06:55:14,আম গাছে জাম হয় না রাজাকারের বংশে রাজাকারই হয়
349,Mitul Bose,2022-10-14 07:35:13,বিএনপি ভুুয়া
350,Papon,2022-10-14 08:33:36,রাজনৈতীক সমাবেশে এমন ধর্মিয় স্লোগান প্রদান উদ্দেশ্য প্রনোদিত ছাড়া আর কিছুইনা দেশের সাম্প্রদায়িক পরিস্থিতিকে উসকে দিতে এই রাজাকারের বাচ্চা এই সকল উসকানি মূলক স্লোগান প্রদান করছে
351,Nazrul Islam,2022-10-14 08:54:04,
352,syed Iftakhar,2022-10-14 09:06:53,শয়তানের বাচ্চা শয়তানই হয়
353,Tauhidul Islam,2022-10-14 09:26:04,আল্লাহু আকবার বাপকা বেটা সাবাস বাঘের বাচ্চা
354,mostafizur Rahman,2022-10-14 09:48:39,ইনশাআল্লাহ
355,Md Taher Ahmed,2022-10-14 10:19:13,নারায়েতকবির আল্লাহু আকবার
356,সত্য পথে চলি সত্য কথা বলি,2022-10-14 12:18:04,সুন্দর কথা বলেছেন ভাই
357,Mohammad Jakaria,2022-10-14 15:54:25,না রায়ে তাকবির আল্লাহু আকবার
358,Kamrul Hasan,2022-10-14 16:37:26,নারায়ে তাকবির আল্লাহু আকবার
359,Samsung A20,2022-10-14 17:26:40,লিল্লাহি তাকবির আল্লাহু আকবার
360,M.N. Sajeeb,2022-10-14 17:46:55,আল্লাহু আকবার টা ভালো লেগেছে
361,Md Khocon Parvez,2022-10-14 17:55:44,রাজাকার পুত্রের ভাসন বিএনপির সমাবেশে কেনো বিএনপি রাজাকার নিয়ে রাজনিতি করে
362,Md. Shakil Ahmed,2022-10-14 17:57:19,
363,Saib uddin Arif🔪,2022-10-14 18:23:15,এটাই মোসলমানের পরিচয়
364,raja,2022-10-14 19:10:01,
365,Life is....,2022-10-14 19:12:12,
366,HAQ KOTHA,2022-10-14 19:44:29,তোর রাজাকার বাবা সীমা অতিক্রম করেছিল আল্লাহ তাকে ফাঁসি দিয়ে শাস্তি দিয়েছেন সাবধান
367,কি? কেন? কিভাবে ?,2022-10-14 20:12:12,রাজাকারের বাচ্চা রাজাকারই হয়েছে
368,Hi power,2022-10-14 20:38:42,আওয়ামিরা আসলেই মুনাফিক আল্লার নাম নিলেই আওয়ামিদের জ্বলে
369,Hi power,2022-10-14 20:39:39,আচ্ছা আল্লার নাম নিলেই আওয়ামিরা জ্বলে কেন
370,Hi power,2022-10-14 20:40:30,আল্লাহুকবার
371,T A সত্যের পথে,2022-10-14 22:51:19,নারায়ে তাকবীর আল্লাহু আকবার
372,Samsul Islam,2022-10-15 00:40:19,
373,BD Viewers,2022-10-15 01:46:28,আল্লহু আকবার
374,Amirul Sehk,2022-10-15 02:23:12,হুমমম ধন্যবাদ
375,Taposh Electronic,2022-10-15 02:27:06,নব্যরাজাকার তৈরি হচ্ছে এদের সমূলে উতপাটন করা দরকার
376,মোঃ নাদিম,2022-10-15 02:29:26,আল্লাহু আকবার
377,Md Shafiqul,2022-10-15 06:18:38,
378,Md khairul,2022-10-15 07:11:52,ভালো লাগল
379,বিপ্লবী জনতা,2022-10-15 07:12:02,একেই বলে বাংলা জনগণের ছেলে বাপের ছেলে বাপের মতই কাজ করে যাবে যা মানুষের ভালোবাসায় এগিয়ে যাবে পুরো চট্টগ্রাম
380,mia sohel,2022-10-15 07:45:51,আল্লাহু আকবার
381,Sujan Sheikh,2022-10-15 08:22:14,নারায়ে তাকবির আল্লাহুআকবার
382,Shameem Khan,2022-10-15 08:31:09,ওরে পাগলা বেশি লাফালাফি করে না বাবার পথে যেতে হবে কিন্তু
383,Md Bidyut,2022-10-15 08:47:28,খুব ভালো লাগছে
384,Mr Zisan,2022-10-15 10:40:46,আল্লাহু আকবার
385,Md Jakir,2022-10-15 11:26:00,
386,Karnafully Engineering,2022-10-15 13:53:01,আল্লাহুআকবর মুমিন এর স্লোগান আল্লাহুআকবর ধ্বনি শুনলে কাফের মুশরিকদের অন্তর আত্মা কাপিয়ে উঠে
387,Md Aslam,2022-10-15 14:38:52,বির বাবার বির ছেলে
388,Md Ibrahim,2022-10-15 14:44:22,
389,Nesar Uddin অবশ্যই অন্যায়,2022-10-15 14:59:43,বাঘের ছেলে বাঘ
390,MD MUSA,2022-10-15 18:43:44,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
391,Alamin Porden,2022-10-15 18:59:12,ইনশাআল্লাহ পালাবার পথ পাইবেনা কুত্তা লীক
392,Bilal Ahmed,2022-10-15 19:57:04,
393,Bilal Ahmed,2022-10-15 19:57:28,
394,Noman Uddin,2022-10-15 22:07:56,
395,Noman Uddin,2022-10-15 22:09:47,
396,Bangladesher raja,2022-10-16 03:59:01,ইসলামের স্লোগান দিছে ধন্যবাদ
397,Bee,2022-10-16 04:52:13,নারায়ে তাকবীর আল্লাহ আকবার
398,Md Borhan Gazi,2022-10-16 04:57:19,আল্লাহু আকবার শুনতে ভালো লাগে
399,Skfaysal,2022-10-16 05:54:10,ঠিক কথা বলেছেন
400,Razu Talukder,2022-10-16 07:20:19,
401,মারুফ ফিসারিজ,2022-10-16 08:06:16,রাজাকার পুত্র পাকিস্তানের স্লোগান দেবে পাকিস্তান জিন্দাবাদ বলবে সবই স্বাভাবিক ওর বাপ দাদারাও একই স্লোগান এদেশে কয়েম করতে চেয়েছিলো
402,Md.tamim Md.tamim,2022-10-16 09:56:17,ইনশাআল্লাহ
403,Md mamun Mb mamun,2022-10-16 10:20:48,বাপের বেটা সারা বাংলাদেশের মুসলমান হুমমাম কাদেরের ধনিতে সহমত
404,Arefin Johir,2022-10-16 11:36:51,
405,Shamim Shaleq,2022-10-16 12:09:25,এরকম নেতাদের তু বাংলাদেশে দরকার
406,md sumon,2022-10-16 12:34:00,বাপ ক্যা বেটা
407,Samsung A20,2022-10-16 13:22:10,নারায় তাকবির আল্লাহু আকবর
408,Hasan 777,2022-10-16 13:35:58,রক্ত গরম করা স্লোগান
409,Grameen Tv Bangla,2022-10-16 14:33:46,আল্লাহু আকবার
410,Riya Riya,2022-10-16 14:35:02,আল্লা হু আকবর
411,Muhammed Ilyas,2022-10-16 18:16:01,আল্লাহর তপিক বিজয় ইনশাআল্লাহ লাটি নিয়া নামবেন বিজয় ইনশাআল্লাহ
412,Azir Uddin,2022-10-16 18:22:11,সাবাস সাবাস সাবাস
413,Ali Basraloy,2022-10-16 18:55:49,মাশাল্লাহ
414,Abdul Aziz,2022-10-16 19:41:21,আললাহু আকবর
415,Enamul Haque,2022-10-16 20:12:01,আল্লাহু আকবার
416,DREAM VIEW,2022-10-16 20:21:00,রাজাকারের পোলা আওয়ামীলীগ সরকারকে ধমক দেয় আমরা দেখছি তোর বাপ সারাজীবন অশ্লীল বক্তব্য দিছে কোনদিন নারায়ে তাকবীর স্লোগান দিছে ব্যাটা মিথ্যুক যখন দেয়ালে পিঠ ঠেকে যায় তখন ধর্ম ব্যাবহার করা তোমাদের অভ্যাস
417,Md Dawlot,2022-10-16 22:56:36,নারায়ে তাকবির আল্লাহু আকবার
418,Mohammod Belal,2022-10-17 03:13:07,নারায়ে তাকবীর আল্লাহু আকবার
419,Mohammod Belal,2022-10-17 03:13:17,নারায়ে তাকবীর আল্লাহু আকবার
420,Mohammod Belal,2022-10-17 03:13:32,নারায়ে তাকবীর আল্লাহু আকবার
421,Mohammod Belal,2022-10-17 03:13:48,নারায়ে তাকবীর আল্লাহু আকবার
422,Mohammod Belal,2022-10-17 03:14:11,নারায়ে তাকবীর আল্লাহু আকবার
423,kurulus,2022-10-17 04:01:02,নারায়ে তাকবির আল্লাহু আকবার
424,Muhammad Sohel Tv,2022-10-17 04:52:13,রাইট
425,md shakib romon,2022-10-17 06:03:40,
426,md shakib romon,2022-10-17 06:04:12,আল্লাহ আখবার
427,Md. Jiarul islam,2022-10-17 07:21:51,আল্লাহু আকবার আল্লাহু আকবার আল্লাহু আকবার
428,Use of positive thinking,2022-10-17 15:17:40,তোরা গুন্ডা কথা শুনলেই বোঝা যায়
429,Din Islam,2022-10-17 18:43:16,
430,Badol Islam,2022-10-18 02:31:23,লিল্লাহি তাকবীর আল্লাহু আকবার
431,Md Monir,2022-10-18 05:15:20,এটাই সব থেকে সুন্দর সোগান
432,Md Abbas,2022-10-18 10:53:53,
433,Protest of lies,2022-10-18 17:07:41,এই স্লোগান দেয়ার জন্য আপনার জনপ্রিয়তা বেড়ে গেছে যে যাই বলুক বাংলাদেশের জনগণ আপনার পক্ষে আছে
434,Zannatul Zannatul,2022-10-19 04:52:54,আল্লাহু আকবার
435,sahin ahmed,2022-10-19 07:48:06,গাদদার ও বেয়াদবের বাচ্চা
436,takninakal or riyed(01),2022-10-20 06:41:45,আল্লাহর পথে এগিয়ে যাও কুওালীগ কে হতাও
437,Md.shahin sikder Masud,2022-10-20 15:36:25,
438,Gwhwyw Ysywyw,2022-10-12 15:19:16,আলহামদুলিল্লাহ
439,Amader Krishi Ghar - আমাদের কৃষি ঘর,2022-10-12 15:21:13,
440,Kashem Ahmed,2022-10-12 15:22:03,বাংলাদেশ জিন্দাবাদ
441,azir uddin,2022-10-12 15:25:09,আলহামদুলিল্লাহ বি এন পি জিন্দাবাদ আওয়ামী লীগ পায়েন্দাবাদ
442,Rakib Al Hasan,2022-10-12 15:33:12,আলহামদুলিল্লাহ
443,Md Humayun,2022-10-12 15:34:19,আওয়ামী লীগের মগা চুদা গুলো বলো নাই দেশে তা হলো এরা কারা
444,Marcos Romero,2022-10-12 15:37:48,বিএনপিকে মানুষ কি দেখে ভোট দিবে আমার বাসা পিরোজপুর জেলায় আমরা যখন স্কুলে পড়তাম আমাদের বাসায় বিদ্যুতের লাইনই ছিলো না বাজারে ও স্কুলে বিদ্যুতের লাইন ছিলো তা দিনে ১৬ ঘন্টা থাকতো না হাটু সমান কাঁদার রাস্তা হেটে স্কুলে যাওয়া লাগতো বাসা থেকে থানায় যাওয়ার জন্য পাকা রাস্তা ছিলো না হাস্পাতালে সিট ছিলো না ব্রিজগুলো ছিলো নড়বড়ে এক সাথে সকল মোয়া পাওয়া যায় না আগে মানুষের চাহিদা ছিলো ভাত ডালের মধ্যে এখন মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা এখন আপনি চাইলেই ৫০০ ১০০০ টাকা পেয়ে যান বাপ মায়ের কাছে আমরা স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য ছিল না এখন বলবেন টাকার মান এখন কমে গেছে আরেহ ভাই টাকাইতো ছিলো না আপনার কাছে তখন
445,HMEAB,2022-10-12 15:38:03,এই সব লেবাস ধারী পুলিশ লীগ দের দেশ থেকে জুতা পায়ে লাথি মারতে মারতে দেশ থেকে বের করে দেওয়া এরা করোনার চেয়েও বড় ভাইরাস হে আল্লাহ এদের করুন সর্বনাশ আমিন
446,Delwar Hussain,2022-10-12 15:39:25,সাবাস বিএনপি এদেশের জনগণ তোমাদের সাথে আছে এগিয়ে চলো
447,Iqbal Media mix,2022-10-12 15:41:23,সুন্দর প্রতি বেদন
448,Shahidullah Bulu,2022-10-12 15:43:00,জনগ নের এ কিভুত হওয়া ভা লো লে গে ছে কিন্তু দুঃ খের বিষয় এই সমা বে শ দে খে বিদু ্যতের দাম বাড়া নো হ চ্ছে
449,Atikur Rahman Mishu,2022-10-12 15:44:41,অবিলম্বে আওয়ামী লীগে পতন ডাক দেয়া হোক
450,Md Emam,2022-10-12 15:48:34,প্রতিবন্দী ওয়াবায়দুল কাদির বলে বি এন পি নাকি জনগন বিচ্ছিন্ন আমি বলি কাদির দেখেন কে জনগন বিচ্ছিন্ন বি এন পি নাকি আমীলিগ
451,mehedihasansujon sujon,2022-10-12 15:50:33,জানের ভয় জীবনের হুমকি ত্যাগ করে মানুষ আসছে আওয়ামী লীগ এর সমাবেশে এর অর্ধেক মানুষ হয় না
452,ব্ল্যাক হোল,2022-10-12 15:50:56,গত বারের মত কোন দালালদের খপ্পরে পরে বা হাসিনার মিথ্যা কথার ফাঁদে পড়ে অথবা কোন বিদেশী শক্তির পরামর্শে তত্ত্বাবধায়ক সরকার ব্যবস্থা ছাড়া নির্বাচনে অংশ নেওয়া যাবে না সত্যের পথে বি্জ্য় নিশ্চিত
453,Safiullah Akram,2022-10-12 15:51:59,সুকরান
454,Habibur Raham,2022-10-12 15:52:52,এবার বিএনপির উচিত মরণ কামড় দেওয়া
455,Sujon Mia,2022-10-12 15:53:42,এত মানুষ
456,Habibur Raham,2022-10-12 15:54:12,গণজোয়ার শুরু হয়েছে বিএনপির
457,স্বপ্ন ছোয়ার গল্প,2022-10-12 15:55:21,এখনো মরে নেই আছে এদেশের কোটি মানুষের কলিজায়
458,Shaharia Hussain,2022-10-12 16:00:39,কথাইতো সংবাদিক ভাই গুছিয়ে বলতে পারছে না
459,Md Shohel Rana,2022-10-12 16:04:40,খুব ভালো লাগলো
460,BD BACHELOR COOKING,2022-10-12 16:05:22,খেলা শুরু
461,Shofiul Islam,2022-10-12 16:11:37,লাও ঠেলা
462,SHETOL VEJA-CHOKH,2022-10-12 16:12:15,আওয়ামী লীগ বয়কট করুন
463,Special bus journey,2022-10-12 16:14:42,ইনশাআল্লাহ আমাদের বিজয় সন্নিকটে
464,Md Maidul,2022-10-12 16:14:43,বি এন পি নেতাদের কি দায়িত্ব আর আওয়ামী লীগ ৭৫ সালে কি দায়িত্ব ছিল
465,mc rasel,2022-10-12 16:18:00,আলহামদুলিল্লাহ স্বৈরাচারী পতন যাক বাংলাদেশ মুক্তি পাক মনটা ভরে গেল দেখে
466,Nayeem Islam,2022-10-12 16:32:12,জয় হবে একদিন ইনশাআল্লাহ
467,Md.Parvej Rehan Molla,2022-10-12 16:32:49,সামীম ওসমান কে কালা চশমা পরা নিষেধাজ্ঞা দেওয়া উচিত শামীম ওসমান কালা চশমা পরে এখানে ১০ ১৭ হাজার লোক দেখে
468,BD Vlogs Bogura,2022-10-12 16:34:30,লাঠি ছাড়া বের হওয়া নিরাপদ না
469,Bahoboli Baper Hotele Ferri Sarbis,2022-10-12 16:34:54,
470,Bahoboli Baper Hotele Ferri Sarbis,2022-10-12 16:35:30,
471,Md Alauddin,2022-10-12 16:36:49,মাশাআল্লাহ আলহামদুলিল্লাহ
472,Mehedi Hasan Shuvo,2022-10-12 16:40:05,
473,♥Sawban Siddique Sayem‌‌‌♠,2022-10-12 16:41:33,
474,kHAN,2022-10-12 16:47:51,
475,Yousuf Romman,2022-10-12 16:48:30,ইনশাআল্লাহ এই অবৈধ সরকারের পতন হবে
476,md borhan uddin,2022-10-12 16:49:26,আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ বিজয় সুনিশ্চিত
477,Mamun Rs,2022-10-12 16:53:43,যারা বলে বি এনপি শেষ তারা জানেনা বিএনপি মানেই ১৮ কোটি মানুষের বাংলাদেশ
478,আবেগী মন,2022-10-12 17:00:20,আলহামদুলিল্লাহ
479,SR Roman,2022-10-12 17:01:58,
480,popular tv,2022-10-12 17:04:36,দেশ কখনো কারো কথায় চলে না আল্লাহ যেভাবে চালান সেভাবেই চলে
481,Jhinuk Baa,2022-10-12 17:24:34,
482,It's me,2022-10-12 17:25:58,
483,It's me,2022-10-12 17:26:03,
484,Obaidulhoque Belal,2022-10-12 17:30:45,হুমকি দেওয়ার জন্য নিন্দা জানাচ্ছি
485,Md Rasal,2022-10-12 17:33:07,জিয়ার সৈনিক এক হও লড়াই করুণ
486,Md Rasal,2022-10-12 17:33:28,আর বসে থাকার সময় নেই আসেন সবাই এক হয়ে রাস্তায় নেমে আসেন
487,abu sayed,2022-10-12 17:38:15,
488,ripon khan,2022-10-12 17:43:28,হঠাও মাফিয়া বাঁচাও দেশ টেইক ব্যাক বাংলাদেশ
489,Masum Bhuiyan,2022-10-12 17:58:28,চট্টগ্রাম বিভাগ এর মাটি বিএনপির ঘাঁটি
490,Jabed Sahka,2022-10-12 18:02:47,মানুষ পরিবর্তন চাই
491,Niloy Rhoman,2022-10-12 18:06:45,সেই নেত্রী খালেদা জিয়া জিয়া খালেদা
492,Suhel Miah,2022-10-12 18:11:44,এগিয়ে যান ইনশাআল্লাহ সত্য বিজয় হবে
493,Anisur Rahman Anis,2022-10-12 18:15:33,বি এন পি জিন্দাবাদ
494,Knjjd Jjjd,2022-10-12 18:26:11,
495,Knjjd Jjjd,2022-10-12 18:31:13,
496,Mohammad Manik,2022-10-12 18:39:23,দারুন
497,Marzan Haque,2022-10-12 19:04:02,জনগন জেগেছে অধিকার আদায় করে নিতে
498,Gallery Art,2022-10-12 19:33:54,অবৈধ লাইলাতুলকদর হাসিনা হটাও দেশ বাঁচাও
499,Mojaher Khan,2022-10-12 19:45:32,কাদের কাকু বিএনপির আন্দোলন দেখতে পারছেন
500,ABDUR RAHIM,2022-10-12 19:55:00,এই চ্যানেল হচ্ছে সুবিধা বাদী এই চ্যানেল দ্বারা অনেক পরিবার ধংস হয়ে গেছে
501,ABDUR RAHIM,2022-10-12 19:55:49,বি এন পির ভাইদের জন্য রইলো শুভ কামনা
502,Mama Vai,2022-10-12 20:15:44,আলহামদুলিল্লাহ আলহামদুলিল্লাহ আলহামদুলিল্লাহ
503,MD Elias Hossain,2022-10-12 20:37:33,জয়ের আলো দেখা যাচ্ছে আলহামদুলিল্লাহ
504,জনতার মৈত্রী শক্তি,2022-10-12 23:32:55,মুক্তিকামী মানুষের আর্তনাদ জনতার এই জনসমুদ্র
505,SAIFUL ISLAM,2022-10-12 23:40:29,আলহামদুলিল্লাহ হে আমার রব তুমি আমার জন্মভূমি কে শকুনের হাত থেকে রক্ষা করো আমিন
506,MSR NAOGAON BD,2022-10-13 01:15:06,যদি পথে পথে বাধা না দিতে তাহলে আরো বেশী জনসমুদ্রে পরিণত হতো
507,Md Sagor,2022-10-13 02:19:26,ওখানে আমিও গিছিলাম চট্টগ্রাম ফুটবল এস্টুডিয়ামের পাশে অনেক মানুষ হয়ছে কোটির উপর
508,Dilip Das,2022-10-13 02:46:53,ভোট দিবার অধিকার চাই ভোটের পর যাতে হিন্দুদের নির্যাতন না হয় সেটাও চাই আমরা কারো গুলাম নই হিন্দুর অধিকারের কথা যে বলবে তাকেই আমরা ভোট দেব
509,truth,2022-10-13 03:15:39,
510,Roman ভাই,2022-10-13 04:16:30,এদেশের মানুষ কোন সরকারকে চায় তা এরকম সম্মেলন দেখলেই বোঝা যায়
511,J.s jisan vai,2022-10-13 04:47:23,
512,Robiul Islam,2022-10-13 05:04:41,
513,Amezing Fishing TV,2022-10-13 05:32:54,সমাবেশ সফল হোক
514,samir chowdhury,2022-10-13 06:19:54,অামি ছিলাম ১০ ১২ লাখ মানুষ হয়েছে
515,Md Jasiwcrwdwdfgfdfgcfm Uddin,2022-10-13 08:18:52,
516,Ali Hosen,2022-10-13 09:08:47,মাশাল্লাহ এগিয়ে জাও দুয়া রইলো
517,Omor on fire,2022-10-13 09:26:55,কে কে আমার নবি হযরত মোহাম্মদ সল্লাল্লাহু আলাইহি ওয়াসাল্লামকে ভালোবাসো
518,Sujon Ali,2022-10-13 10:00:09,
519,Edulake bd tricks,2022-10-13 10:52:31,আল্লাহ বাংলাদেশ কে শান্তি করে দিন
520,Rakomari Somahar,2022-10-13 12:57:35,কিরে হালার পুরা এই লোক কি হাজার না লাখ
521,Md.Anamul Sikdar,2022-10-13 13:05:08,আওয়ামী লীগের নেতারা দেখেছি রাতে মাইকিং করে বলেছে জনসমাবেশে যারা যাবেন তারা আর গ্রামে ফিরে আসতে পারবে না এটাও কি গণতন্ত্র দেশ এখন দেখেন আল্লাহ পাক রব্বুল আলামীন জনসমাবেশ সফল করে ঠিকই জনগণের ইচ্ছা পূরণ করেছে ইনশাল্লাহ
522,মোবাশ্বির হোসাইন,2022-10-13 13:35:04,অমাবস্যার আঁধার কেটে উঠবে ঠিকই খুশির চাঁদ অত্যাচারীর ভাংতে পাঁজর শক্ত করে কোমর বাঁধ
523,Masud Mia,2022-10-13 17:00:40,
524,Sadam,2022-10-14 01:23:05,শামিম উসমান এত লোক চোখে দেখে না চোখ কি কানা
525,1971×OXYGEN Gaming,2022-10-14 04:13:12,বোরকা শামীম দেখ এখানে ১০ হাজার মানুষ
526,স্ক্রিনশটের গল্প,2022-10-14 06:37:29,সময় টিভি র ক্যামেরাতে যতগুলা মানুষ দেখা যাচ্ছে জনসমাবেশে আসছে তার চাইতে তিনগুণ বেশি মানুষ ক্যামেরার বাইরে ছিল আর হয়তোবা তারা বেশি ধারণ করতে পারে নাই হয়তোবা ক্যামেরা ক্যাপাসিটি কম তাই সবগুলো ধরতে পারে নাই অনেক মানুষ ছিল যা ক্যামেরাতে ধরা সম্ভব না
527,MOHAMMAD SHOHEL,2022-10-14 12:03:41,এই সমাবেশে বলে দেশে দেয় দেশের মানুষ নাস্তিকলীগের বিরুদ্ধে ফুসে উঠেছে এবার দেশের মানুষ জয় নিয়ে ঘরে ফিরবে ইনশাআল্লাহ
528,দ্বীপ টেলিভিশন। DIP TELEVISION,2022-10-14 14:11:29,এগিয়ে চলেছে দ্বীপ টেলিভিশন
529,BD MOTION WALL,2022-10-14 16:25:34,মূল্য বৃদ্ধিকে রাজনৈতিক ইস্যু হিসেবে ব্যবহার করতে দূর্নীতিকে একমাত্র কারণ হিসেবে দেখানোর কোন সুযোগ নেই কারণ অতীতের যেকোন সময়ের চেয়ে বিশ্ব দূর্নীতির তালিকায় বাংলাদেশ এখন চ্যামপিয়ান নয় বিভিন্ন আমদানিকৃত দ্রব্যের মূল্য ও বিক্রি মূল্যের অস্বাভাবিক অসামঞ্জস্যের সঠিক তথ্য উপস্থাপন না করে শুধু মাত্র অস্থিতিশীল পরিবেশ তৈরির চেষ্টার সুযোগ নেই
530,Mamun Shekh,2022-10-14 18:33:24,
531,MD Omor Faruk,2022-10-15 01:07:58,
532,Samiya ami opekkha korthe ci onek,2022-10-15 05:37:33,লাটী আনবনা তুমরা পুলিশ আনইওনা সমানসমান হবে
533,TuTul Boss,2022-10-16 04:28:14,
534,Kazi Abdullah Al Shakil,2022-10-19 19:06:45,
535,Nabil Raz 😍,2022-10-21 09:44:29,ইয়া আল্লাহ এই মানুষদের আশা পূরণ করুন এবং দেশে শান্তি দেন
536,Nizwa Oman,2022-10-21 13:30:48,
537,Md Fardous,2022-10-21 17:47:30,এই খবর দেখতে আপনাদের খারাপ লাগছেনা বিএনপি ক্ষমতায় গেলে যেন সমায় টিভি বন্ধ করে দেয় কারুন আপনারা আওমিলিগ মার্কা শুধু মাত্র নিজেদের সার্থের জন্য জনগণের অধিকার নিয়ে খেলছেন
538,Md Shobuj Ahmed,2022-10-12 04:15:55,আওয়ামী সরকার বিএনপিদের বিভিন্ন বড় বড় নেতাকর্মীদের ঘুম হত্যা খুন মিথ্যা মামলায় ভরে রেখেছে কিন্তু কিছুদিন যাবত যে সমাবেশ গুলো হচ্ছে তা দেখে তো বোঝা যাচ্ছে দেশের সকল জনগণ এক হয়ে গেছে
539,Md Raju,2022-10-12 04:16:26,আলহামদুলিল্লাহ সমাবেশ সফল হোক সার্থক হোক
540,Harun Rashid,2022-10-12 04:18:00,কোটি কোটি টাকা খরচ মহা সমাবেশ করে লাভ কি দেখা যাবে চট্রগ্রাম বিভাগ এবং এর আশে পার্শে মিলায়ে সংসদীয় আসন ৭০ টির অধিক রয়েছে ক্ষেত্রে ৫ ৭ লাখ লোক একত্রিত করা হয় তাহলে কি লাভ তাহাতেও প্রকৃত পক্ষে সমর্থক কিংবা ভোটার সংখ্যা অনুমান করা যাবে না ২ জন কিংবা ৩ জন এম পি হইতে যে পরিমান ভোটের দরকার সেই পরিমান লোক তো এই মহাবেসে হাজির করতে পারবেন না হাজার কোটি টাকা খরচ করেও তাহাছারা চট্রগ্রামে যে সমস্ত বি এন পি নেতাদের মিল ফ্যাক্টরী রয়েছে সেই সমস্ত মিল ফ্যাক্টরীর শ্রমিক কর্মচারী রয়েছে তাদেরকে চাপ প্রয়োগ করে সমাবেশে নিয়া আসবেন ফলাফল কি হলো সব কিছু মিলায়ে বুঝা গেল সারা চট্রগ্রাম বিভাগে আপনারা ৫ টি ও আসন পাইবেন না তাহলে এত জামেলা করে লাভ কি আরো কিছু টোকাই আউল ফাউল কথা বলে পরে বিপদে পরবে এর চেয়ে যার যার উপজেলা পর্যায়ে সমাবেশ করুন এবং নেতাদের জানিয়ে দিন অন্য উপজেলা থেকে লোক না আনবার জন্য তাহলে কিছুটা হলেও আপনারা বুজতে পারবেন যে আপনাদের জন সমর্থন কতটা আছে পরামর্শটা সকল দলের জন্য প্রযোজ্য সারা দুনিয়ার লোক এক জায়গায় ঝরো করে আপাতত শান্তনা নিতে পারবেন যে আমাদের জন সভায় কত লোক হয়েছে কিনতু ভাইয়েরা এই লোক গুলো কিনতু এক জায়গায় ভোট দিবে না যার যার এলাকায় সে ভোট দিবে তখন কিনতু ভোট গননার পরে দেখবেন অধিকাংশ সংসদীয় আসনে ২৫ ৩০ হাজারের ভোট পান নি তখন কি করবেন তখন পুরাতন ক্যাসেট বাজিয়ে শুনাবেন কারচুপি করে আমাদেরকে হারানো হয়েছে
